	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_RESPONSE_TO_NITROGEN_COMPOUND	7	8	19	16	20	15	37	23	22	22	0	10	10	0	0	33	17	31	38	7	15	9	28	0	34	20	13	30	25	36	12	30	26	21	17	26	0	5	13	15
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	8	0	25	14	21	15	44	30	26	31	0	10	0	7	0	38	26	38	44	8	21	0	33	0	33	21	20	40	27	45	12	30	30	20	27	33	0	0	15	17
GO_RIBONUCLEOTIDE_BINDING	0	0	0	17	19	18	39	27	0	31	6	0	26	0	0	35	28	0	39	0	23	18	35	0	34	19	0	28	24	38	0	31	34	23	0	29	10	0	0	23
GO_SARCOLEMMA	0	0	6	3	5	3	7	4	4	0	0	0	3	2	2	6	0	10	11	0	0	0	5	4	5	6	3	4	4	6	2	0	10	0	7	5	0	0	4	3
GO_SECRETION	8	10	26	0	24	14	49	31	30	41	9	0	16	10	0	48	25	41	49	9	22	0	30	11	41	22	17	35	22	38	14	35	32	23	36	34	12	0	11	21
GO_SIGNAL_RELEASE	5	6	17	9	17	12	34	27	20	30	6	6	10	7	0	34	14	31	33	6	13	0	21	8	29	17	12	27	19	28	11	25	26	17	27	25	5	0	8	16
GO_SOMATODENDRITIC_COMPARTMENT	8	7	34	14	16	16	50	30	30	34	6	11	11	0	11	43	25	48	59	11	22	14	33	11	46	26	17	38	27	49	12	36	41	14	31	34	10	5	15	20
GO_SYNAPSE	12	17	42	25	32	26	66	42	38	58	9	19	22	14	17	70	45	64	86	16	26	19	58	23	70	41	25	48	45	66	21	62	58	35	42	51	18	9	20	30
GO_SYNAPSE_ORGANIZATION	4	7	15	9	9	7	22	12	14	15	3	6	5	3	6	21	8	16	21	7	9	0	16	5	20	15	7	9	10	26	8	16	17	0	13	12	0	5	0	7
GO_SYNAPTIC_MEMBRANE	6	4	11	9	7	8	21	17	9	21	4	9	10	6	0	23	13	23	28	5	0	0	20	10	27	15	8	18	15	20	7	19	19	16	15	21	4	3	5	11
GO_SYNAPTIC_SIGNALING	11	8	22	15	21	15	47	28	24	33	7	10	12	11	7	38	23	38	49	12	15	10	36	13	47	23	16	34	24	37	14	38	34	22	27	36	11	0	14	17
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0	0	6	0	4	4	11	8	5	9	3	0	4	3	0	7	5	13	11	2	0	0	6	2	13	3	0	9	5	9	3	6	7	3	8	14	2	0	3	5
GO_SYNAPTIC_VESICLE_LOCALIZATION	2	2	3	3	0	0	7	7	3	6	2	0	3	0	0	7	6	7	6	2	3	0	0	0	5	0	2	3	4	4	2	3	5	2	4	0	0	0	2	2
GO_TRANSMEMBRANE_TRANSPORT	13	0	29	22	18	23	52	32	30	39	0	11	14	7	13	48	25	50	61	11	20	13	37	14	43	33	13	41	30	39	15	43	36	27	36	36	13	0	20	19
GO_TRANSPORTER_ACTIVITY	10	0	25	18	13	17	42	25	22	30	0	8	13	8	11	36	17	42	51	9	18	12	32	10	32	27	10	30	22	29	12	32	27	20	31	26	9	0	14	16
GO_TRANSPORTER_COMPLEX	5	3	14	15	10	7	27	17	14	21	0	7	6	4	0	22	8	22	28	5	12	5	21	6	18	15	8	22	8	15	8	19	18	12	17	16	6	0	7	8
GO_TRANSPORT_VESICLE	3	4	16	5	7	0	22	15	11	19	5	0	5	0	8	24	13	18	24	4	7	0	15	7	18	11	8	16	10	22	6	18	15	0	14	14	0	3	5	7
GO_TRANSPORT_VESICLE_MEMBRANE	0	0	10	3	0	0	15	11	6	10	4	0	0	0	5	16	11	11	17	3	4	0	9	4	11	8	5	8	9	13	3	12	10	4	11	10	0	0	4	5
GO_TUBULIN_BINDING	0	0	11	4	8	9	21	11	12	12	4	7	6	0	6	11	13	17	15	3	8	4	15	6	16	8	5	0	10	20	0	9	11	11	12	14	0	0	4	10
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0	0	10	5	7	5	15	15	9	14	5	0	7	4	4	14	10	18	16	3	4	0	13	4	20	5	6	14	9	16	4	10	12	7	14	17	0	0	5	7
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0	2	4	0	2	2	6	3	3	4	0	0	2	2	0	6	2	5	8	0	3	2	5	2	7	6	0	3	2	6	2	5	5	4	4	4	0	0	2	0
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	0	2	4	0	2	2	6	2	3	4	0	0	2	2	0	6	2	4	7	0	3	2	4	2	6	6	0	3	2	5	2	5	4	4	4	3	0	0	2	0
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	3	3	9	11	7	0	16	11	11	14	0	3	8	4	2	13	8	15	24	3	12	7	14	6	16	11	5	13	6	14	4	12	15	11	12	10	4	0	7	6
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3	4	9	13	9	0	22	13	12	15	0	4	8	4	3	14	8	18	28	4	14	7	17	8	17	11	5	15	7	17	5	13	17	12	15	12	4	0	9	7
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0	0	5	9	5	0	10	7	8	10	0	2	6	2	2	7	6	10	16	2	9	5	8	4	8	5	3	8	4	7	2	5	9	7	7	5	3	0	5	5
