Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cellular protein localization (GO:0034613)	1/327	0.4745686278696636	0.5095921428415945	0	0	1.5850016144656118	1.1813794308219856	TBC1D3C
GO_Biological_Process_2018	intracellular protein transport (GO:0006886)	1/347	0.4950230029908743	0.5296018156997956	0	0	1.4918618801338606	1.0490042427039146	TBC1D3C
GO_Biological_Process_2018	negative regulation of cell proliferation (GO:0008285)	1/363	0.5108259378085613	0.5445067688728621	0	0	1.4247601046815934	0.9570489436647031	SFRP1
GO_Biological_Process_2018	phosphorylation (GO:0016310)	1/386	0.5327014533032611	0.565752273398719	0	0	1.3380724538619275	0.8427101861623045	MAPK4
GO_Biological_Process_2018	negative regulation of programmed cell death (GO:0043069)	1/408	0.5527323610911978	0.584891334827413	0	0	1.2643217380059486	0.7495928053395937	SFRP1
GO_Biological_Process_2018	regulation of intracellular signal transduction (GO:1902531)	1/422	0.5650410427870864	0.5954177897249757	0	0	1.2214026753344167	0.6972461551198769	PTPN22
GO_Biological_Process_2018	positive regulation of cell proliferation (GO:0008284)	1/424	0.5667722603223996	0.5954177897249757	0	0	1.2155032972502178	0.6901599925900372	SFRP1
GO_Biological_Process_2018	negative regulation of nucleic acid-templated transcription (GO:1903507)	1/444	0.5837192869879421	0.6110155126384572	0	0	1.1594392301294998	0.624166816133131	SFRP1
GO_Biological_Process_2018	cellular protein modification process (GO:0006464)	2/1001	0.587856821557295	0.6131409859253507	0	0	1.0259989719449178	0.5450843837094702	PTPN22;MAPK4
GO_Biological_Process_2018	protein phosphorylation (GO:0006468)	1/470	0.6047873878525296	0.6285468923753076	0	0	1.09370441027943	0.5500002230229689	MAPK4
GO_Biological_Process_2018	negative regulation of apoptotic process (GO:0043066)	1/485	0.6164655882289379	0.6384038653901102	0	0	1.0589930404523706	0.5122908229707799	SFRP1
GO_Biological_Process_2018	positive regulation of nucleic acid-templated transcription (GO:1903508)	1/502	0.6292946138951139	0.6493784845513411	0	0	1.0221661939279336	0.4734221474835904	SFRP1
GO_Biological_Process_2018	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1/512	0.6366447521559144	0.6546417769518413	0	0	1.0016479555052014	0.4522875914432562	SFRP1
GO_Biological_Process_2018	positive regulation of cellular process (GO:0048522)	1/519	0.6417051567840535	0.6575218331836605	0	0	0.9877565535460272	0.4381948228123889	SFRP1
GO_Biological_Process_2018	negative regulation of cellular process (GO:0048523)	1/534	0.6523187308631497	0.6660517567760582	0	0	0.9592179322602944	0.4097989895350878	SFRP1
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	1/633	0.7150709360988728	0.7275721762404616	0	0	0.8048384410393071	0.2699215089562013	IFNE
GO_Biological_Process_2018	regulation of cell proliferation (GO:0042127)	1/740	0.7704865605139107	0.7812250491621883	0	0	0.6844954063100919	0.1784705865838487	SFRP1
GO_Biological_Process_2018	negative regulation of transcription, DNA-templated (GO:0045892)	1/813	0.8021090926817348	0.8084692559702604	0	0	0.6205924293492352	0.1368472428223184	SFRP1
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	1/815	0.8029127662385059	0.8084692559702604	0	0	0.6190029742661322	0.13587685124290722	SFRP1
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	1/1120	0.8945715923406298	0.8976563219693905	0	0	0.4431118009500965	0.04936723776713663	SFRP1
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	1/1598	0.9612575716182116	0.9612575716182116	0	0	0.3026068615496161	0.011956869015292351	SFRP1
