	100_8h(8hpi)	100_8h(24hpi)	100_8h(48hpi)	100_8h(72hpi)	0_8h(8hpi)	0_8h(24hpi)	0_8h(48hpi)	0_8h(72hpi)
AK056490	6.9201	 6.867	7.1726	7.0442	7.1292	6.5332	6.9813	7.6272
AK056505	6.3168	6.3168	6.3168	6.3168	6.3168	6.3168	6.3168	6.3168
AK056524	6.7961	6.7265	6.7565	6.7401	6.7145	6.8032	6.7132	6.7272
AK056584	6.4295	6.4188	6.5032	 6.371	6.4295	 6.371	6.3558	6.4403
AK056618	7.3462	7.3689	7.4301	7.8042	7.7131	7.2274	7.8127	8.1236
AK056623	8.4397	 8.244	8.1548	 8.247	8.0873	8.1815	 8.196	8.0637
AK056625	6.2199	   6.3	6.3293	   6.3	6.4673	   6.3	6.4816	6.7217
AK056657	 6.951	7.1955	7.0975	6.9879	7.1546	7.0508	7.1099	7.2176
AK056686	6.3704	6.2874	6.3704	6.4574	6.3704	 6.452	6.3704	 6.448
AK056689	6.4668	6.3433	6.3433	6.3433	6.3022	6.3433	6.3433	6.3433
AK056780	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
AK056817	 6.582	6.6395	6.5681	6.5383	6.5795	6.3634	6.5922	 6.782
AK056897	6.5028	6.3152	6.3763	6.3152	6.3307	6.3346	6.3711	6.5492
AK056973	6.9817	7.0888	  7.08	6.9743	7.0548	7.1052	6.9931	6.9948
AK056982	6.5053	6.6901	6.5486	 6.672	6.6866	6.6091	6.7339	6.5936
AK057177	6.8221	6.8025	6.8288	6.7695	6.7777	6.7708	6.7488	6.8548
AK057187	6.3394	6.3394	6.3394	6.3394	6.3394	6.3394	6.3394	6.3394
AK057188	6.6225	6.6528	6.5959	 6.765	6.5432	6.5148	6.5303	6.4448
AK057218	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108
AK057259	6.3415	6.3415	6.3415	6.3415	6.3415	6.3415	6.3415	6.3415
AK057304	6.3126	6.3126	6.3126	6.3126	6.3126	6.3126	6.3126	6.3126
AK057321	9.2126	9.3834	9.3016	9.4084	9.4788	 9.276	 9.523	9.6074
AK057332	6.2804	6.3594	6.4343	6.3968	6.4356	6.3968	6.3593	6.3594
AK057379	6.3406	6.3735	6.2974	6.3735	6.3845	6.3312	6.4497	6.3312
AK057448	6.3994	6.4719	6.4327	6.4719	6.6283	6.4719	6.7094	6.7681
AK057451	6.4116	6.3114	6.4116	6.4986	6.4116	6.4368	6.4116	6.4892
AK057455	6.3273	6.3273	6.3273	6.3273	6.3273	6.3273	6.3273	6.3273
AK057471	6.329	6.329	6.329	6.329	6.329	6.329	6.329	6.329
AK057473	8.4948	 8.195	8.2003	8.2443	8.1742	8.2993	8.3084	8.2487
AK057513	6.3265	6.3265	6.3265	6.3265	6.3265	6.3265	6.3265	6.3265
AK057519	6.5028	6.5024	6.6714	 6.596	6.5646	6.5253	6.4269	6.7036
AK057596	7.8649	8.2182	8.1168	8.3182	8.3963	8.0587	8.4102	8.4588
AK057604	6.9579	7.1407	7.1403	7.2473	7.2319	7.1276	7.1865	 7.197
AK057657	10.4479	10.3934	10.4741	10.2413	10.3113	10.5285	10.2167	10.2255
AK057681	7.4375	7.3677	7.3349	7.4746	7.4521	7.4208	 7.562	7.5307
AK057689	6.4962	6.4808	  6.59	6.6792	6.5806	6.4675	6.5291	6.4808
AK057719	6.7532	6.6804	6.6368	6.6159	6.6774	6.5267	6.7559	6.9795
AK057766	6.3806	6.5304	6.5164	6.3301	6.4634	6.3258	 6.369	6.4914
AK057873	6.3766	6.3876	6.3115	6.3876	6.3913	6.3453	6.4638	6.3453
AK057887	  9.733	9.99804	9.91041	10.0246	 10.088	 9.9751	10.0881	10.0225
AK057897	7.3816	7.3927	7.3328	7.7477	7.4818	7.1532	7.5807	7.6048
AK057978	7.0741	7.2361	7.0608	7.1787	7.2808	7.0766	7.3975	7.3316
AK058136	6.4437	6.4569	6.3877	6.6034	6.5138	6.4569	6.6049	6.4569
AK074396	6.8798	6.6579	6.6606	6.6486	6.4929	 6.437	6.5186	6.6576
AK074469	6.5164	6.6052	6.6024	6.7248	6.6219	6.5443	6.5886	6.5427
AK074476	8.4137	8.2005	8.3636	8.3176	8.2265	8.2552	 8.183	8.3223
AK074615	6.5706	6.5972	6.4836	6.5789	6.5373	6.5384	6.6077	6.5068
AK075019	 6.624	6.6868	6.7485	6.6121	6.7903	6.7807	6.7489	6.9463
AK075337	6.3411	6.3411	6.3411	6.3411	6.3411	6.3411	6.3411	6.3411
AK090553	6.7688	6.8173	6.7482	6.8379	6.8043	6.7745	6.8427	6.8016
AK090593	7.9034	7.7819	7.8833	7.6815	7.8004	7.7502	 7.769	8.0155
AK090604	6.6234	6.4409	6.5055	6.4986	6.3801	6.4409	6.3763	6.3931
AK090674	8.6234	8.5602	8.6294	8.5718	8.4832	8.5644	8.4071	 8.387
AK090681	6.3489	6.3044	6.4306	6.3489	6.3489	6.3044	6.2672	 6.476
AK090688	6.31	6.31	6.31	6.31	6.31	6.31	6.31	6.31
AK090700	7.2014	 7.404	7.2794	7.4109	7.5523	7.4598	7.6497	 7.559
AK090736	7.1466	 7.261	 7.324	7.5265	7.5243	7.1985	7.5357	 7.741
AK090844	8.0953	8.1941	8.1398	8.1611	8.2367	8.1523	8.2628	8.2709
AK090904	7.0394	6.9461	6.9727	7.1059	 6.928	6.8764	 6.939	6.9935
AK090973	6.8018	6.7191	6.7119	6.7825	6.6636	6.6327	6.6844	6.6583
AK091028	 7.068	7.1204	7.1698	7.2446	7.2539	7.1617	 7.245	7.2878
AK091070	6.3763	6.3081	6.2944	6.3199	6.3763	6.3081	6.4583	6.3199
AK091102	6.5145	6.4967	6.5493	 6.471	6.5082	6.7334	6.4703	 6.338
AK091265	7.1934	6.7998	6.7014	6.9669	6.6258	6.7712	 6.834	6.4943
AK091275	6.3589	6.3589	6.3589	6.3589	6.3589	6.3589	6.3589	6.3589
AK091365	 6.419	6.3758	6.4575	6.3758	6.3614	6.3758	6.2941	6.3758
AK091593	6.3547	 6.222	6.3547	6.5149	6.3547	6.3547	6.3547	 6.222
AK091624	6.9438	7.1147	6.9838	7.1048	7.2116	 7.157	7.3055	7.1744
AK091688	6.3919	6.3389	6.4497	6.5619	6.4736	6.3389	6.4567	6.7041
AK091729	7.1996	 7.101	7.0969	7.0893	7.1955	7.1586	7.2963	7.4155
AK091866	6.5923	6.5052	6.3828	6.2414	6.3129	6.4947	6.3828	6.2834
AK091906	6.7409	6.4847	6.4212	6.5851	 6.456	6.5289	6.6333	6.4731
AK091996	6.9208	7.0324	6.9888	6.9599	7.0473	7.0353	7.0425	7.0952
AK092048	10.3627	 10.156	10.6052	10.9514	10.5495	9.01851	10.4004	11.7479
AK092080	7.8683	7.4658	7.5704	7.4222	7.3696	7.6708	7.4182	7.3643
AK092087	6.4984	6.2848	6.3693	6.5003	6.3263	6.3316	6.3693	6.2848
AK092098	8.1341	8.2644	8.0463	8.1951	8.1931	8.1068	8.3104	8.2583
AK092135	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144
AK092150	7.3507	7.2413	7.2669	7.4141	 7.247	7.1383	7.2789	7.4441
AK092251	7.5174	7.3138	7.6229	7.9722	7.6443	7.3337	7.6022	7.7471
AK092313	9.17251	9.39686	9.75484	 9.4913	10.1867	 9.8905	10.1114	 10.838
AK092331	9.68994	10.0576	 9.8575	10.0788	10.1759	9.97244	10.2513	10.1215
AK092380	 7.041	  7.16	7.0629	7.3727	7.3574	6.8493	7.4938	7.6608
AK092451	6.7159	6.4641	6.6362	6.5729	6.4888	6.6034	6.4549	6.6595
AK092541	6.9952	7.0513	6.9235	6.9073	6.8328	6.7963	6.8233	6.7929
AK092619	6.4245	6.3571	6.5295	  6.41	6.4052	6.3571	6.2906	  6.41
AK092965	6.2997	6.4493	 6.287	6.5268	6.6026	6.5268	6.7667	6.5268
AK093002	6.7491	6.8321	6.7922	6.7458	6.7532	6.7496	 6.712	6.7794
AK093026	6.7834	6.8168	6.7945	6.8872	 6.858	 6.685	6.8842	7.0099
AK093114	6.3284	6.3284	6.3284	6.3284	6.3284	6.3284	6.3284	6.3284
AK093124	6.3661	6.3661	6.3661	6.3661	6.3661	6.3661	6.3661	6.3661
AK093203	6.4311	6.3431	6.4029	 6.731	6.5383	6.3731	6.6201	6.5944
AK093256	6.7204	6.6072	 6.555	6.5737	6.5296	6.5976	6.5996	6.5056
AK093264	6.4039	6.2907	6.3501	6.5365	6.4039	6.3648	6.4576	6.3648
AK093299	6.8362	6.9323	7.0212	6.9986	6.9727	6.9424	6.8559	6.9977
AK093301	6.3229	6.3229	6.3229	6.3229	6.3229	6.3229	6.3229	6.3229
AK093356	 6.922	6.8881	6.7968	6.7328	6.7804	6.9574	6.8348	6.7182
AK093362	6.3249	6.3249	6.3249	6.3249	6.3249	6.3249	6.3249	6.3249
AK093363	6.3178	6.3178	6.3178	6.3178	6.3178	6.3178	6.3178	6.3178
AK093403	6.4606	6.4415	6.4811	6.5432	6.4912	6.4442	6.4861	6.4442
AK093416	7.1018	7.4467	 7.318	7.4188	7.5408	 7.399	7.5441	7.5519
AK093443	7.5236	7.3046	7.6692	7.3824	7.8911	7.1248	7.9293	9.2512
AK093513	6.3566	6.3566	 6.248	6.3566	6.3566	6.3566	6.4652	6.3566
AK093519	6.3724	6.3724	6.3724	6.3724	6.3724	6.3724	6.3724	6.3048
AK093534	7.7403	7.6042	7.6852	7.9668	 7.739	7.5181	7.7934	7.7088
AK093551	7.9446	7.9032	7.8745	8.2246	8.0332	7.8276	8.1476	8.2487
AK093552	6.3757	6.3377	6.4096	6.5856	 6.416	6.3377	6.4023	6.3685
AK093555	7.8239	8.1112	7.9585	 8.126	8.1542	8.0158	8.1848	8.0489
AK093600	6.5378	6.7361	6.6922	6.8071	6.7668	6.7087	6.7269	 6.455
AK093758	6.3235	6.3235	6.2467	6.3235	6.3235	6.3235	6.4003	6.3235
AK093892	6.4524	6.3629	6.6017	6.5097	6.4629	6.3639	6.3189	6.5898
AK093898	8.5506	8.4972	8.4831	8.7629	8.6108	8.5273	8.7084	8.5168
AK093940	6.3876	6.3876	6.2799	6.3876	6.3876	6.3876	6.4952	6.3876
AK094117	6.7613	6.9235	6.8036	6.9047	6.8759	6.9476	6.8909	6.7142
AK094156	7.9929	8.2482	8.0225	8.0625	8.2707	 8.232	8.3801	8.2153
AK094188	7.1556	7.0609	 7.097	7.1104	7.0387	7.1036	7.0388	7.0473
AK094196	6.3747	6.3913	6.4693	6.5606	6.5596	6.3913	6.5575	6.7105
AK094280	6.5266	6.3554	6.3554	6.2969	6.2983	6.3554	6.3554	6.3554
AK094325	 6.763	7.0084	6.9167	6.9629	6.9802	6.8479	6.9351	 6.851
AK094342	7.1416	7.1858	7.4176	7.2359	7.3471	7.2683	7.1739	 7.491
AK094343	6.6886	6.7229	6.8136	6.9098	6.9623	6.8482	6.9742	7.0436
AK094352	 6.209	6.3265	6.3254	6.5248	6.4735	6.3265	6.4893	6.4921
AK094413	8.4687	8.0633	8.2308	8.3475	8.1331	8.1848	8.2033	8.2789
AK094462	9.39642	9.84952	9.58569	 9.7085	10.0466	9.85222	10.1824	10.0984
AK094480	6.8604	6.6272	6.6448	6.6075	6.5001	6.6147	6.5356	6.3894
AK094525	7.2424	 7.419	7.6068	7.7109	7.7282	7.1878	7.6067	8.1191
AK094577	7.9927	7.9456	8.0321	8.0573	8.1472	8.0303	 8.185	8.3476
AK094599	6.5979	6.5832	6.4883	6.6298	6.5827	 6.549	6.6848	6.6507
AK094611	6.7602	6.7686	6.4051	6.2102	6.4624	6.2973	6.6687	6.7474
AK094621	 8.688	8.7065	8.6723	8.5831	8.6323	8.5638	8.6201	8.6929
AK094639	6.8042	7.1751	6.8761	6.7074	6.9078	6.9512	6.8877	6.6872
AK094644	6.8697	6.5683	6.9787	6.8834	7.0789	6.4921	7.0746	7.9764
AK094674	6.3204	6.3204	6.3204	6.3204	6.3204	6.3204	6.3204	6.3204
AK094692	6.4136	6.3674	6.5386	6.5367	6.4837	6.4248	6.3937	6.5933
AK094733	7.1916	6.9022	6.9766	7.1838	7.0128	6.9149	7.1383	7.2335
AK094786	6.7388	6.8475	7.1946	7.1229	7.0656	6.7953	6.7731	7.1699
AK094818	7.3619	7.5027	7.4671	7.5294	7.5783	7.3929	7.5813	7.6916
AK094859	6.9533	6.9534	7.0242	7.1201	7.0098	6.8615	6.9671	  7.01
AK094909	6.3962	6.3915	6.3915	6.3915	6.3899	6.2952	6.3915	6.4369
AK094915	6.4186	6.3622	 6.311	6.3622	6.4186	6.4186	6.5263	6.5012
AK094916	 6.797	 6.622	6.7034	6.7464	6.6657	6.7155	6.6936	6.7709
AK094929	6.2204	6.3368	6.3368	6.3368	6.3756	6.3368	6.3368	6.3368
AK094934	6.6625	6.6384	6.6477	6.5998	6.5538	 6.495	6.5143	6.5424
AK094945	6.6526	6.4869	6.4496	6.4967	6.3819	6.3274	6.4496	6.5694
AK094963	7.1259	6.8693	6.9364	7.0226	6.6694	 6.748	6.6307	6.5481
AK094985	7.3402	7.2636	7.2201	7.2798	 7.197	7.1708	7.2454	7.2639
AK094990	7.3204	7.3525	 7.397	7.4652	 7.261	7.2328	7.1546	7.0359
AK095045	7.2158	6.8621	7.1363	7.2906	6.9482	6.4108	6.8939	7.4988
AK095057	8.9561	9.0204	8.8888	9.1354	9.0765	8.7666	9.2041	9.2503
AK095081	6.5376	6.6147	6.5175	6.5108	6.5268	6.3632	6.5416	6.6396
AK095112	7.4612	7.7125	7.6576	7.8045	8.0104	7.8605	8.0887	   8.1
AK095132	6.2962	6.4946	6.3963	6.4946	6.5607	6.4568	6.5928	6.4568
AK095151	6.4955	6.5519	6.6302	6.6134	6.7048	6.7193	6.6748	 6.584
AK095179	7.7447	8.0415	7.8678	8.1076	8.0665	7.8453	8.1042	7.9716
AK095187	6.4623	6.3466	6.4042	6.3797	6.4623	6.3466	6.5204	6.7103
AK095210	6.2649	6.4537	6.3813	6.2974	6.4201	 6.339	6.3813	 6.339
AK095221	6.7577	6.9097	6.9181	 6.818	6.9203	6.8196	6.8412	 6.921
AK095242	7.2509	7.2871	7.1327	7.2862	7.3066	7.2216	7.4527	7.3821
AK095267	 7.355	7.4518	7.4157	7.4291	7.4469	7.3416	7.4322	7.5231
AK095285	6.3117	6.3117	6.3117	6.3117	6.3117	6.3117	6.3117	6.3117
AK095310	6.3403	6.3403	6.3403	6.3403	6.3403	6.3403	6.3403	6.3403
AK095335	7.2864	7.0058	7.1714	7.1385	7.1312	6.9841	7.1686	7.4427
AK095365	6.7121	6.4415	 6.397	6.4255	6.4012	6.4255	6.5608	6.4415
AK095366	7.1082	7.2029	7.1419	7.0778	7.2078	7.2855	7.2239	7.1604
AK095439	7.4332	7.4614	7.6183	7.6264	7.5684	7.4773	7.4508	 7.502
AK095498	6.4675	6.3384	6.3384	6.3384	6.2953	6.3384	6.3384	6.3384
AK095546	7.1522	7.6091	7.4096	7.4927	7.5119	 7.427	7.4344	7.2507
AK095583	8.41683	7.92921	8.42834	10.1065	8.95279	8.38555	9.20926	7.67632
AK095618	6.3647	6.3202	6.3647	6.3202	6.3647	6.3647	6.3647	6.4424
AK095621	6.8466	7.0171	6.9026	7.1615	6.9951	  6.84	7.0134	6.9469
AK095633	6.9749	7.0574	7.1665	7.1206	7.1237	7.1219	7.0064	7.0059
AK095699	6.3298	6.3298	6.3298	6.3298	6.3298	6.3298	6.3298	6.3298
AK095700	9.5932	9.4343	9.4037	9.4995	9.3844	 9.365	9.4695	9.4775
AK095721	9.5299	9.5675	9.4026	9.3521	9.4399	9.5638	9.5222	9.2237
AK095988	 7.054	7.1137	6.9558	7.0963	7.0872	6.8919	7.2021	7.1514
AK096023	6.2302	 6.319	6.3161	6.4597	6.4463	6.3922	6.4684	 6.319
AK096066	8.0621	7.7557	 8.006	7.9921	7.9562	7.9165	7.9593	8.1249
AK096159	6.8649	 6.894	6.9412	6.9993	6.8171	6.4749	6.7169	6.9091
AK096219	 6.584	6.3763	6.6258	6.9246	6.6934	6.7377	6.7063	6.6955
AK096230	7.9439	8.0111	8.1003	8.4109	8.2689	8.0487	8.2749	8.3511
AK096233	7.3565	7.5186	 7.386	 7.483	7.4813	7.6622	7.5142	7.2418
AK096249	6.7221	6.7461	6.6245	6.6591	6.7865	6.7453	6.9163	6.8117
AK096291	7.1396	7.3177	7.2293	7.2488	7.3171	7.3561	7.3162	7.2055
AK096314	8.6607	8.4456	8.5734	9.0902	8.3406	8.4604	8.2679	7.7234
AK096329	 6.503	6.2721	6.3739	6.4388	6.3309	6.5101	6.3739	6.2811
AK096335	8.6983	8.4998	8.6464	8.7433	8.6928	8.5074	8.7419	9.0261
AK096379	6.3452	6.3078	6.3452	6.4575	6.3452	6.3078	6.3452	6.3078
AK096395	6.9909	7.1192	7.1905	 7.097	7.1748	7.1158	7.0671	7.1018
AK096475	8.0456	 8.121	8.2007	8.3639	8.2666	8.0717	 8.222	8.2643
AK096549	6.5018	6.5445	6.4301	6.5878	6.4825	6.5262	6.5445	 6.283
AK096592	7.8843	7.8819	 7.743	7.8767	7.9051	7.9767	8.0569	7.8083
AK096622	7.2972	7.0582	7.1399	7.1639	6.9696	6.9194	6.9632	7.0548
AK096718	6.7682	6.5587	6.6874	6.9349	6.8115	6.8047	 6.914	 6.957
AK096792	6.6213	6.6487	6.6765	6.7819	6.7391	6.7979	6.7429	6.7534
AK096803	6.3569	6.3569	6.4414	6.3569	6.3569	6.3174	6.2723	6.3174
AK096834	6.5926	6.4821	6.4691	6.3597	 6.428	6.5991	6.4691	6.4138
AK096898	6.3466	6.4638	6.3466	6.3075	6.3466	6.3075	6.3466	6.3075
AK096932	6.4681	6.4989	6.3779	6.5707	6.5659	6.5144	6.7051	6.6027
AK096976	6.4147	6.3748	6.4147	6.3148	6.4147	6.4295	6.4147	6.5346
AK096982	6.7451	7.0817	7.0606	7.1206	7.1625	6.8329	7.0556	7.2393
AK096995	6.3165	6.4163	6.4163	6.4163	6.4496	6.4163	6.4163	6.4163
AK097012	6.3459	6.3459	6.3459	6.3459	6.3459	6.3459	6.3459	6.3459
AK097119	8.1538	8.8326	8.4192	8.7451	8.9528	8.5313	9.0869	8.8965
AK097143	10.4541	11.1174	10.7069	 10.913	11.2658	10.9838	11.4189	11.3284
AK097161	6.3182	6.3182	6.3182	6.3182	6.3182	6.3182	6.3182	6.3182
AK097184	7.0297	 6.824	6.8516	6.9986	6.8269	6.8654	6.9036	6.8376
AK097190	6.4789	6.7583	6.6947	6.5732	 6.654	6.6561	6.5257	6.4218
AK097242	6.4701	6.3738	6.4323	6.3738	6.4197	6.3738	6.4323	6.6079
AK097288	7.0364	  7.03	7.0167	7.1915	6.9019	7.0654	6.8544	6.5168
AK097289	6.9418	7.2217	7.1193	7.2667	7.3249	7.1473	 7.339	7.2985
AK097351	7.4543	7.5107	7.3986	7.3211	7.3287	 7.508	7.3216	7.0979
AK097370	 7.116	7.2182	7.2691	7.3294	  7.37	7.2377	7.3439	7.4767
AK097428	6.3274	6.3274	6.3274	6.3274	6.3274	6.3274	6.3274	6.3274
AK097432	 6.395	6.4672	 6.793	6.6169	6.6595	6.4672	6.3937	6.7309
AK097453	10.6773	10.8177	10.6149	10.6511	10.5929	10.7622	10.6131	10.2908
AK097472	6.4933	6.6617	6.5821	6.6414	6.6414	6.4184	6.6267	6.4184
AK097500	6.2302	6.3466	6.3466	6.3466	6.3854	6.3466	6.3466	6.3466
AK097527	6.3398	6.3398	6.3398	6.3398	6.3398	6.3398	6.3398	6.3398
AK097571	6.3916	6.3517	6.3344	6.3517	6.3916	6.3517	6.4488	6.5115
AK097585	6.3471	6.2914	6.3471	6.5143	6.3471	6.2914	6.3471	6.2914
AK097590	 6.565	 6.621	6.5437	6.6117	6.6083	6.5793	6.6513	6.5779
AK097618	6.4173	6.3574	 6.499	6.5967	6.4173	6.3337	6.3355	6.3337
AK097625	6.6211	6.6791	6.7575	 6.726	6.7301	6.6504	6.6483	6.7469
AK097658	 6.942	6.9291	6.8337	6.8664	6.8812	6.9596	6.9592	6.8879
AK097686	6.3807	6.3807	6.3807	6.3807	6.3807	6.3807	6.3807	6.3807
AK097694	6.5793	6.6218	6.6182	6.6125	6.6047	6.5802	6.5785	6.5787
AK097701	7.1303	6.9712	6.9772	6.8358	6.7999	6.7335	6.7877	6.9702
AK097702	6.5062	6.9063	6.7312	6.7849	 6.848	6.6727	6.7939	6.8253
AK097706	6.5719	6.4507	6.4789	6.4435	6.4073	6.2996	 6.418	6.5861
AK097759	7.8061	7.5547	7.7416	7.8743	 7.504	7.3616	7.4175	7.5947
AK097791	6.5883	  6.56	6.5553	6.6615	6.5896	6.6031	6.6233	6.5605
AK097794	7.4865	7.2649	7.3573	7.3298	7.2187	7.3987	 7.214	7.1392
AK097803	9.4493	9.5944	9.4146	9.2291	9.4285	9.5701	9.4528	9.2789
AK097814	6.3652	6.3652	6.3652	6.3652	6.3652	6.3652	6.3652	6.3652
AK097829	6.3475	6.3475	6.3475	6.3475	6.3475	6.3475	6.3475	6.3475
AK097836	6.3272	6.3272	6.3272	6.3272	6.3272	6.3272	6.3272	6.3272
AK097866	6.3523	6.3109	6.3523	6.2363	6.3523	6.3109	6.3523	6.4765
AK097878	7.5372	 7.588	7.5427	7.4227	7.4216	7.4472	7.3583	7.3779
AK097902	  6.35	  6.35	6.2681	  6.35	  6.35	  6.35	 6.432	  6.35
AK097910	6.6159	6.2863	6.4113	6.4513	6.3366	6.4504	6.4015	6.4419
AK097921	6.2879	6.3683	6.3683	6.3683	6.3951	6.3683	6.3683	6.3683
AK097934	6.7395	6.7221	6.7479	6.7458	6.8825	6.7022	6.9457	7.0385
AK097952	6.3146	6.4363	6.3675	6.3496	6.4897	6.3496	6.5244	6.5837
AK097957	7.6442	7.7699	7.4895	7.6331	7.7086	7.7832	7.8955	7.6082
AK098012	6.4078	6.4078	6.4896	 6.292	6.4078	6.5299	6.3261	 6.292
AK098067	7.0022	7.0437	7.0805	7.1588	7.1687	7.0271	7.1737	 7.282
AK098095	9.0058	9.1165	 9.156	9.5101	9.2781	9.0869	9.2641	9.2105
AK098198	6.3262	6.3052	6.3883	6.3052	 6.409	6.3883	6.3883	6.4708
AK098263	6.7755	 6.799	6.7817	6.8993	6.7551	6.8259	6.7386	6.6173
AK098303	7.3622	7.4809	7.4555	7.2962	7.3385	 7.475	7.2334	6.9615
AK098333	6.7552	6.8707	6.8145	 6.889	6.8595	6.7485	6.8523	6.8156
AK098438	7.7834	7.7374	7.8258	7.9354	7.9038	7.7874	7.9216	7.9979
AK098481	6.5871	6.7102	6.7179	6.8005	6.7912	6.6592	6.7625	6.8047
AK098491	 8.821	8.7012	8.4867	8.7777	8.7453	8.6875	9.0418	8.8837
AK098560	 6.946	6.8074	6.9453	7.0495	6.9195	6.7795	6.9069	7.0634
AK098656	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105
AK098705	6.4107	6.4107	6.4107	6.3013	6.4107	6.4107	6.4107	6.5359
AK098727	6.5737	6.6932	6.4951	6.6046	6.6679	6.5594	6.7937	6.7283
AK098769	6.7611	6.3985	6.4908	6.3985	6.4008	6.3405	6.4908	6.3405
AK098783	6.4319	 6.378	6.4779	 6.379	6.4898	 6.379	6.4727	6.5558
AK1	9.4705	 9.315	9.5277	9.7178	9.4575	9.3772	9.3938	9.5598
AK122764	6.6318	6.7119	6.8273	6.7156	6.7541	6.7684	6.6198	6.6403
AK123141	6.3185	6.3185	6.3185	6.3185	6.3185	6.3185	6.3185	6.3185
AK123177	6.4054	6.3721	6.3689	6.6105	6.5111	6.3875	6.6005	6.5531
AK123181	7.0545	6.9406	7.0039	7.0095	6.8947	6.8101	6.8654	7.0434
AK123263	6.7403	6.7179	6.8291	6.7221	6.7928	6.8271	6.7302	6.8508
AK123292	 6.395	6.5041	6.3107	6.3478	6.3842	6.3305	 6.463	6.3478
AK123298	6.2491	6.5639	6.2984	6.4128	6.5177	6.4115	6.6027	6.4128
AK123300	6.9449	 7.003	7.1279	 7.046	7.1561	7.0802	7.0787	7.2622
AK123314	7.2273	7.4821	7.3258	7.3033	7.4516	 7.374	7.4652	7.5058
AK123332	7.3343	7.3205	 7.367	7.4441	7.4623	7.3872	7.4936	7.5857
AK123393	6.3407	6.3407	6.2321	6.3407	6.3407	6.3407	6.4493	6.3407
AK123416	6.3708	6.3688	6.2939	6.5897	6.3708	6.3708	6.4476	6.2828
AK123440	6.31	6.31	6.31	6.31	6.31	6.31	6.31	6.31
AK123450	7.1636	7.3013	7.1716	7.2052	7.1696	7.2871	7.1646	6.8901
AK123459	7.2326	7.3067	7.3502	7.6598	7.6259	7.4686	7.7049	7.7208
AK123543	6.7332	6.8293	6.8962	6.8453	6.8941	6.8857	6.8116	6.8552
AK123582	6.3374	6.3374	6.3374	6.3374	6.3374	6.3374	6.3374	6.3374
AK123584	7.4688	7.7614	7.5684	7.6317	7.7892	7.7403	7.8497	7.7625
AK123617	7.4185	6.9964	  7.26	7.3895	7.2849	7.0718	7.3766	7.8183
AK123654	6.7713	7.0558	6.7637	7.0103	6.9255	6.6153	7.0103	6.8666
AK123675	6.9591	6.8944	7.2778	7.4527	7.3132	7.0267	7.1716	7.5049
AK123758	7.0032	6.8718	6.8722	6.8836	6.8419	6.7118	6.8922	7.1235
AK123771	7.6981	7.7017	7.7778	7.8935	7.8258	7.8344	  7.81	7.9302
AK123816	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106
AK123826	6.6811	6.6525	6.5767	  6.69	6.6706	 6.655	6.7698	6.8007
AK123834	6.5393	6.5082	6.7872	6.7475	6.8328	 6.698	6.7316	7.0668
AK123868	 7.873	7.6845	7.6587	7.6384	7.2714	7.3208	7.1849	7.0078
AK123872	7.0995	7.2524	7.2135	7.2433	7.3386	7.2826	7.3442	7.3552
AK123878	  6.49	6.4551	6.4551	6.4551	6.4434	6.4551	6.4551	6.4551
AK123889	10.2147	10.7408	10.4393	10.6281	10.9112	10.6036	11.0349	10.9883
AK123891	6.6024	6.7398	6.8145	7.0676	  6.99	6.9889	6.9716	  6.86
AK123934	  6.52	6.6166	6.5835	  6.61	6.6017	6.5391	6.5791	 6.538
AK123947	 6.355	 6.355	 6.355	6.2754	 6.355	 6.355	 6.355	6.2754
AK123976	7.0209	7.2735	7.1037	  6.99	7.2288	7.3246	7.2499	7.0654
AK123998	7.1782	7.2971	7.2364	7.3656	7.3532	 7.305	7.3824	7.1697
AK124056	6.3562	6.3114	6.3562	6.3114	6.3562	6.3562	6.3562	6.3562
AK124121	6.8837	6.7616	6.6913	6.7494	6.7433	6.6175	6.8654	7.0623
AK124130	7.0543	7.3864	7.0899	7.0568	7.2998	7.2302	 7.387	7.3651
AK124131	6.2519	6.4139	6.4984	6.4139	6.4679	6.4139	6.3294	6.4139
AK124179	6.3931	6.3931	6.3931	6.3397	6.3931	6.3931	6.3931	6.3397
AK124194	6.9191	7.1413	6.9962	7.1259	 7.191	6.9947	7.2499	7.2573
AK124197	6.8655	6.9551	6.8877	7.0619	7.0613	6.8771	 7.137	7.0379
AK124226	6.3945	6.3101	6.5578	 6.648	6.3945	6.3101	6.2313	6.3101
AK124233	10.0387	10.3572	10.1345	10.3911	10.4326	10.2338	10.5337	10.3884
AK124262	6.6527	6.6384	6.5679	 6.863	6.8127	6.7735	6.9775	6.8862
AK124272	6.5559	6.6022	6.6223	6.6788	6.5451	6.5371	6.4732	6.5351
AK124308	6.4094	6.4094	6.5288	6.3508	6.4094	6.3508	6.2899	6.5849
AK124326	 6.886	6.8184	  6.89	6.8684	6.8216	6.8957	6.7854	6.8436
