TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
NR4A2	MUC17	-0.071021	40.16	-1.6E-01	rgb(181,195,223)	1.7832	None
ONECUT3	DQ573539	0.071021	40.16	0.158	rgb(219,187,187)	1.7832	2,2
PAX4	PODN	0.071021	40.16	0.161	rgb(219,186,187)	1.7832	None
ZNF514	BC073817	0.071021	40.16	0.16	rgb(219,186,187)	1.7832	2,2
EGR3	NPY	0.070366	40.15	0.149	rgb(219,189,189)	1.783	None
ETS1	BEX2	-0.070366	40.15	-1.5E-01	rgb(184,197,223)	1.783	None
HHEX	ARHGAP24	0.070366	40.15	0.154	rgb(219,188,188)	1.783	None
LHX1	WWC2-AS2	0.070366	40.15	0.147	rgb(219,189,189)	1.783	None
MAFA	PRELP	0.070366	40.15	0.153	rgb(219,188,188)	1.783	None
POU6F1	UTS2B	0.070366	40.15	0.151	rgb(219,188,188)	1.783	None
RORC	TEKT2	-0.070366	40.15	-1.5E-01	rgb(184,197,223)	1.783	None
SIX2	HSPA12A	0.070366	40.15	0.149	rgb(219,189,189)	1.783	None
SOX4	DNAH11	-0.070366	40.15	-1.5E-01	rgb(185,197,223)	1.783	None
FOXJ1	CIB4	-0.069712	40.14	-1.4E-01	rgb(187,199,222)	1.7828	None
KCNIP3	DIRAS1	0.069712	40.14	0.137	rgb(219,191,191)	1.7828	2,2
GATA4	GLT8D2	-0.069057	40.13	-1.3E-01	rgb(188,199,222)	1.7826	None
GATA6	CCDC150	-0.069057	40.13	-1.3E-01	rgb(188,199,222)	1.7826	None
HOXB9	PBOV1	-0.069057	40.13	-1.3E-01	rgb(188,199,222)	1.7826	None
NKX2-2	VSTM2L	-0.069057	40.13	-1.3E-01	rgb(189,200,222)	1.7826	None
ONECUT1	GLYATL3	0.069057	40.13	0.13	rgb(218,192,192)	1.7826	None
ZFHX2	ATP6V1G2	-0.069057	40.13	-1.3E-01	rgb(189,200,222)	1.7826	None
ETS1	GPRIN3	0.068402	40.12	0.122	rgb(218,194,194)	1.7824	None
ETS1	NHLH1	0.068402	40.12	0.122	rgb(218,194,194)	1.7824	None
HSF2	CCDC150	-0.068402	40.12	-1.2E-01	rgb(191,201,222)	1.7824	None
MAFA	CHRNB4	-0.068402	40.12	-1.2E-01	rgb(190,201,222)	1.7824	None
MAFB	CADM3	-0.068402	40.12	-1.2E-01	rgb(190,201,222)	1.7824	None
NEUROD1	INSM1	0.068402	40.12	0.125	rgb(218,193,193)	1.7824	None
EGR3	TMEM132C	-0.067748	40.11	-1.1E-01	rgb(193,202,221)	1.7822	None
FOXA1	CSH1	0.067748	40.11	0.115	rgb(218,195,195)	1.7822	None
NR4A2	KANK2	0.067748	40.11	0.112	rgb(218,196,196)	1.7822	None
RFX6	AGT	0.067748	40.11	0.112	rgb(218,196,196)	1.7822	None
RORC	CITED2	0.067748	40.11	0.105	rgb(218,197,197)	1.7822	None
SIM1	LOC653513	0.067748	40.11	0.108	rgb(218,196,197)	1.7822	2,2
FOXD4L5	LRRN2	-0.067093	40.1	-9.9E-02	rgb(196,204,221)	1.782	None
SIX2	CACNA2D2	0.067093	40.1	0.103	rgb(218,197,197)	1.782	None
TET1	CLSPN	0.067093	40.1	0.101	rgb(218,198,198)	1.782	None
LMX1A	BAALC	0.066439	40.09	0.087	rgb(218,200,201)	1.7818	None
