	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_POSTSYNAPTIC_MEMBRANE	5	5	11	12	6	13	19	24	14	10	8	18	3	2	5	8	10	3	6	20	15	21	23	4	0	0	17	5	10	3	22	13	8	15	17	5	6	5	17	6	20	19	25	15	3	21	4	0	6	14	5
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	2	0	5	7	3	9	9	12	5	4	3	9	0	0	3	2	5	0	0	11	7	12	11	0	0	0	9	2	3	2	11	5	5	9	7	2	4	0	10	3	10	11	11	7	2	13	2	0	4	9	3
GO_POTASSIUM_CHANNEL_ACTIVITY	2	0	12	13	9	5	18	18	12	5	3	13	0	0	2	3	8	3	6	13	10	15	20	3	12	7	13	0	7	0	10	7	6	12	9	2	7	6	10	3	11	14	20	13	0	11	5	0	6	9	2
GO_POTASSIUM_CHANNEL_COMPLEX	0	2	11	11	7	3	12	14	10	3	4	10	0	0	2	3	4	0	5	12	9	10	15	2	9	4	12	0	4	0	8	6	4	12	6	2	5	3	5	2	7	10	17	11	0	9	4	0	3	8	0
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2	0	12	13	10	7	18	19	13	5	3	14	0	0	0	3	8	4	6	13	11	16	22	3	12	7	14	0	7	0	12	7	7	14	11	2	7	6	12	3	12	16	22	13	0	12	6	0	8	10	2
GO_POTASSIUM_ION_TRANSPORT	2	0	14	15	14	10	24	24	15	7	6	20	0	0	0	5	9	4	7	17	15	20	25	3	13	7	16	0	8	0	13	10	7	16	14	0	9	9	15	3	17	17	26	16	0	15	6	0	8	12	2
GO_PRESYNAPSE	6	12	34	16	15	22	36	45	25	13	11	27	9	3	7	10	13	8	14	36	29	36	43	7	11	9	27	7	13	5	36	20	18	22	28	10	12	10	34	10	33	31	44	28	4	35	9	5	13	19	5
GO_PRESYNAPTIC_MEMBRANE	3	3	10	6	4	8	9	15	11	5	4	13	4	0	0	5	7	4	5	11	8	11	16	3	0	0	10	0	6	2	17	6	4	10	9	4	0	0	10	3	9	8	15	9	2	11	3	2	0	7	0
GO_REGULATION_OF_BLOOD_CIRCULATION	0	5	12	8	10	13	22	25	12	6	0	15	0	0	0	4	6	0	11	14	12	21	25	0	11	7	17	0	8	0	20	12	9	21	11	4	4	4	14	4	18	21	25	14	0	22	0	6	9	12	3
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	4	0	15	10	10	14	17	26	13	6	6	14	0	0	0	6	0	0	6	17	14	18	20	0	8	7	13	0	9	0	17	12	0	19	11	5	7	7	15	4	18	17	22	18	0	19	5	5	7	17	3
GO_REGULATION_OF_CELLULAR_LOCALIZATION	0	0	23	17	20	27	36	46	21	0	14	26	8	3	7	0	13	6	13	22	25	33	30	6	13	9	23	0	15	0	34	16	15	22	19	6	0	9	26	0	24	25	37	29	0	35	0	7	14	22	4
GO_REGULATION_OF_CELL_DEVELOPMENT	0	0	30	16	15	23	35	39	24	11	12	19	5	3	7	8	13	0	12	25	29	30	27	7	17	10	34	8	14	4	31	12	14	27	26	0	9	0	36	8	20	28	37	24	4	33	9	12	13	20	4
GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0	4	13	6	6	11	16	16	0	0	5	0	3	3	0	4	7	0	0	8	10	11	10	3	7	0	13	6	5	2	16	0	9	12	10	0	4	0	17	0	10	14	15	8	2	13	4	5	0	10	2
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0	7	23	16	14	21	31	33	20	11	12	17	5	3	6	11	15	0	11	19	27	22	24	5	13	12	27	9	15	0	32	10	14	20	20	0	8	0	29	0	19	24	31	20	3	28	9	10	10	20	6
GO_REGULATION_OF_EXOCYTOSIS	0	6	11	7	7	10	15	18	12	4	9	11	5	0	7	0	7	5	4	13	13	19	19	0	6	4	7	0	0	0	15	5	10	12	11	0	4	0	15	3	12	10	17	12	3	18	6	0	12	9	2
GO_REGULATION_OF_HEART_RATE	0	3	7	4	6	3	13	16	6	3	0	9	0	0	0	0	5	0	5	10	7	9	12	0	5	5	9	0	3	0	9	8	4	9	7	2	2	0	7	2	7	9	15	8	0	8	0	4	5	6	2
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	2	5	4	5	2	10	12	5	3	0	6	0	0	0	0	5	0	2	6	6	8	10	0	4	4	6	0	3	0	7	5	4	7	4	0	2	2	5	0	4	9	10	6	0	7	0	2	4	5	2
GO_REGULATION_OF_HORMONE_LEVELS	7	7	24	12	15	17	27	36	24	11	11	29	0	0	6	6	12	5	13	35	21	32	34	0	15	6	22	0	10	0	23	15	17	23	17	0	0	7	24	9	27	21	38	24	7	30	0	9	9	17	0
GO_REGULATION_OF_HORMONE_SECRETION	3	0	14	8	10	12	18	27	16	7	7	19	0	0	4	4	8	3	6	23	14	20	19	0	9	0	13	0	6	0	14	10	11	12	12	0	0	0	14	5	18	13	24	17	5	19	0	5	6	11	2
GO_REGULATION_OF_INSULIN_SECRETION	2	3	12	7	8	11	14	22	13	6	7	14	0	0	4	3	6	2	5	18	14	17	16	0	8	0	12	0	4	0	11	8	11	10	10	0	0	0	12	3	13	11	18	12	3	16	0	2	6	10	2
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	5	0	22	19	15	16	35	38	21	9	7	22	0	0	0	9	11	4	10	26	21	28	34	5	15	11	19	4	13	3	25	17	11	26	17	6	14	12	24	7	30	26	35	28	0	24	6	5	12	20	4
GO_REGULATION_OF_ION_TRANSPORT	7	7	24	23	20	18	43	44	21	10	10	27	0	0	0	12	12	7	13	31	22	32	39	8	18	11	23	0	15	0	32	18	12	30	22	6	15	13	29	10	36	29	41	32	3	31	8	7	14	21	5
GO_REGULATION_OF_MEMBRANE_POTENTIAL	7	6	21	21	19	13	42	41	27	11	8	31	0	2	5	6	13	5	12	27	21	29	37	6	14	12	28	5	14	3	27	17	15	27	24	7	11	10	25	9	30	28	41	28	4	31	9	5	15	21	4
GO_REGULATION_OF_METAL_ION_TRANSPORT	4	0	15	10	12	13	20	26	13	6	7	16	3	0	0	7	0	3	7	18	13	15	19	0	9	7	15	0	9	0	21	13	0	19	13	5	6	7	14	4	18	17	23	20	0	20	5	5	6	16	3
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0	8	29	18	15	22	36	41	24	12	12	22	5	4	7	8	13	0	12	24	28	31	29	8	17	11	36	9	14	6	34	14	15	26	25	0	9	0	37	8	21	29	38	26	4	35	8	12	13	22	5
GO_REGULATION_OF_NEURON_DIFFERENTIATION	0	6	28	16	14	20	32	34	20	8	12	17	5	3	6	7	12	0	11	21	25	25	24	7	15	7	29	8	14	4	30	11	14	23	24	0	6	0	34	7	18	27	32	21	3	29	7	10	11	19	4
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0	6	21	14	12	18	27	28	17	7	10	14	5	3	0	7	12	0	8	15	20	20	19	5	12	7	22	8	12	3	27	8	11	19	17	0	6	0	27	5	16	23	25	16	0	24	7	9	9	19	4
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0	6	14	8	8	11	16	20	11	0	10	11	5	0	7	0	8	5	0	13	13	17	16	4	0	0	10	0	5	2	18	6	7	10	14	0	4	0	15	4	12	14	18	13	4	19	5	0	8	7	0
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0	4	9	4	5	8	10	14	9	0	8	8	4	0	5	0	5	3	0	6	8	11	11	3	0	0	6	0	0	2	11	3	4	6	8	2	0	0	8	3	7	8	10	7	2	13	4	0	7	5	0
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	2	3	13	8	10	12	16	24	15	7	7	16	0	0	4	3	7	3	5	20	14	19	18	0	8	0	13	0	6	0	12	9	11	11	11	0	0	0	13	4	15	12	20	14	4	17	0	3	6	10	2
GO_REGULATION_OF_PEPTIDE_SECRETION	0	0	15	8	10	14	18	26	17	8	9	18	0	2	5	5	8	3	6	23	17	21	21	0	9	0	13	0	7	0	13	10	13	13	14	0	0	0	15	5	16	15	23	16	4	20	0	0	7	11	3
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	4	0	8	4	4	4	13	14	10	3	4	10	0	2	5	3	3	0	3	8	0	0	6	3	0	0	10	0	3	0	9	0	4	10	7	0	0	0	8	4	6	6	12	8	2	11	4	2	3	8	2
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0	6	10	6	5	8	12	15	9	0	7	8	4	0	6	0	5	5	3	9	8	14	15	2	0	0	5	0	0	0	11	0	6	8	10	2	0	0	10	3	8	10	12	8	3	15	3	0	10	6	0
GO_REGULATION_OF_SECRETION	5	10	25	15	18	24	37	47	29	12	16	32	8	0	10	8	13	8	10	37	27	40	40	6	16	0	21	0	12	0	34	16	22	26	24	5	8	7	29	10	31	24	43	31	8	40	9	7	17	20	4
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0	3	11	6	7	7	13	15	10	4	0	9	4	0	0	0	6	3	5	10	9	11	14	2	5	4	13	4	8	0	17	8	10	12	9	0	4	0	11	0	9	12	15	11	2	17	4	4	0	13	0
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0	4	10	4	4	11	11	19	8	0	6	10	6	3	6	0	8	3	4	10	9	13	11	2	3	0	7	2	0	2	14	4	5	9	8	0	3	0	11	3	8	11	14	10	2	14	3	0	7	8	0
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0	3	7	0	0	6	8	12	6	0	6	7	4	0	5	0	5	2	0	6	6	9	9	0	0	0	4	0	0	0	9	0	0	6	6	0	2	2	6	2	6	7	8	6	2	11	3	0	6	5	0
GO_REGULATION_OF_SYSTEM_PROCESS	4	6	16	14	18	22	33	35	21	7	0	22	4	0	6	0	10	4	15	20	19	28	36	0	19	11	27	0	16	3	31	15	11	30	19	6	6	7	23	5	27	30	36	21	3	37	9	8	14	21	4
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	5	0	22	21	17	17	38	41	23	10	9	23	0	0	0	9	13	4	10	27	23	29	35	5	16	11	20	5	14	3	27	17	12	27	19	6	14	12	25	7	32	28	39	30	0	28	8	5	14	21	4
GO_REGULATION_OF_TRANSPORT	11	13	53	40	39	43	81	90	48	17	26	58	11	4	13	18	30	14	23	64	54	69	74	12	31	16	46	11	28	6	66	31	31	54	47	12	22	22	60	17	64	55	86	62	10	73	19	12	31	44	7
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	7	7	25	15	15	19	32	38	25	8	12	23	7	2	8	6	14	8	9	25	23	28	31	9	8	7	27	6	13	6	34	18	18	24	22	5	9	6	27	8	26	27	36	21	5	36	12	7	11	23	4
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	0	7	17	11	11	15	21	28	15	0	9	17	8	3	9	0	12	7	8	19	18	26	25	0	8	0	0	0	0	0	23	0	13	17	16	4	6	0	22	0	16	16	25	20	3	25	7	0	14	13	0
GO_RESPONSE_TO_NITROGEN_COMPOUND	7	10	27	24	23	22	41	45	34	15	15	26	6	3	0	11	15	0	0	34	30	40	43	7	15	10	30	9	13	0	38	22	15	35	29	7	11	11	37	12	37	32	42	32	4	45	0	12	18	25	5
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	8	0	37	24	25	26	50	55	38	17	18	35	0	0	0	0	0	0	17	40	40	47	49	8	22	13	34	10	18	0	39	23	24	46	32	9	0	0	47	12	40	35	51	38	0	50	0	11	22	30	0
GO_SCHAFFER_COLLATERAL_CA1_SYNAPSE	0	2	8	0	3	6	8	8	5	2	5	7	3	0	0	0	5	2	2	8	11	6	6	0	0	0	4	4	0	0	7	3	5	5	7	2	4	4	7	0	7	8	6	5	0	9	0	0	0	5	2
GO_SECRETION	8	15	37	24	27	31	52	58	42	17	20	45	10	0	11	0	25	10	16	52	39	54	55	9	23	0	31	0	17	0	45	24	27	37	34	0	15	14	39	14	42	40	59	45	10	57	15	10	20	30	0
GO_SECRETORY_VESICLE	0	0	32	12	13	16	34	38	28	12	0	31	6	0	8	0	16	0	15	37	33	41	40	0	13	9	20	0	11	5	29	14	16	27	24	6	0	10	30	0	33	23	42	23	5	40	8	0	11	21	4
GO_SIGNAL_RELEASE	5	10	26	17	19	24	36	46	27	11	14	31	7	0	10	8	16	7	9	36	24	39	37	6	14	6	22	0	13	4	33	18	18	27	26	0	8	8	29	11	30	32	42	32	8	42	7	7	15	22	3
GO_SODIUM_CHANNEL_ACTIVITY	2	2	5	7	3	3	8	8	6	0	0	5	0	0	0	0	0	2	2	3	3	4	7	3	2	3	4	0	3	0	6	2	3	8	3	2	0	0	5	3	4	6	8	6	2	4	0	0	4	3	0
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	0	0	7	9	6	9	13	14	9	0	0	8	0	0	0	3	0	2	4	0	7	6	12	2	0	4	7	0	4	0	10	4	4	13	7	5	0	0	11	0	8	9	12	12	0	9	0	0	4	6	0
GO_SOMATODENDRITIC_COMPARTMENT	8	14	45	23	21	31	55	62	37	13	18	37	7	4	9	15	13	5	20	48	37	55	62	11	25	19	36	13	19	4	51	26	21	42	38	7	15	15	50	13	41	47	59	39	5	50	11	9	26	36	5
GO_SYNAPSE	12	24	61	42	38	49	76	87	60	24	25	66	11	5	16	23	30	15	27	78	68	75	93	16	28	22	62	18	32	12	77	43	37	49	64	14	22	22	70	22	75	68	97	56	11	77	21	13	31	47	11
GO_SYNAPSE_ORGANIZATION	4	10	22	13	10	12	25	22	19	10	7	17	4	2	0	6	7	3	7	22	16	18	22	7	9	0	17	6	8	6	21	16	9	9	15	5	7	5	26	9	17	22	23	15	0	21	0	6	6	11	5
GO_SYNAPTIC_MEMBRANE	6	6	17	14	8	17	23	30	18	10	9	24	5	2	7	10	13	6	8	25	19	26	30	5	0	0	22	5	12	4	30	15	10	19	21	6	7	5	22	7	25	21	31	18	4	26	6	3	8	19	5
GO_SYNAPTIC_SIGNALING	11	13	33	24	23	27	51	55	38	15	17	37	8	3	12	12	18	12	15	43	36	47	52	12	15	11	37	7	20	9	51	23	25	36	36	6	12	10	41	14	46	42	59	33	9	54	13	8	20	31	5
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0	4	10	5	4	7	11	15	8	0	7	9	4	0	6	0	6	3	0	8	8	13	13	2	0	0	7	0	3	2	14	3	4	9	9	0	3	3	10	3	8	9	12	9	3	16	4	0	7	6	0
GO_SYNAPTIC_VESICLE_LOCALIZATION	2	2	5	3	0	7	7	9	3	0	0	6	2	0	2	0	4	0	2	7	7	7	6	2	3	0	0	3	0	0	5	0	2	3	6	0	2	2	4	2	3	6	6	4	2	4	0	0	2	3	0
GO_SYNAPTIC_VESICLE_MEMBRANE	0	2	10	3	0	5	11	12	7	0	3	5	3	0	3	0	0	0	3	12	10	8	10	2	3	2	5	0	4	0	9	4	5	4	7	4	3	0	8	2	11	5	13	8	2	11	2	0	3	5	2
GO_TRANSMEMBRANE_TRANSPORT	13	0	43	31	26	39	63	76	43	20	21	47	0	0	0	16	22	8	20	52	46	57	65	12	21	18	40	9	20	0	47	33	22	47	35	11	20	19	40	15	54	46	71	54	0	51	15	0	24	33	11
GO_TRANSPORTER_ACTIVITY	10	0	35	25	21	29	51	57	32	16	15	37	0	0	0	10	19	9	16	41	33	48	54	9	19	17	35	0	15	0	36	27	19	35	27	9	16	15	30	12	41	36	54	44	0	40	11	0	17	25	10
GO_TRANSPORTER_COMPLEX	5	5	18	19	15	14	31	30	21	8	9	23	0	0	0	7	7	4	8	24	16	25	30	5	13	7	23	0	8	0	21	15	13	26	13	4	8	5	15	8	23	21	31	21	3	23	7	3	9	16	4
GO_TRANSPORT_VESICLE	3	6	23	8	9	13	25	31	17	6	0	21	5	0	7	0	7	0	12	26	22	24	25	4	7	0	15	0	10	4	22	11	12	16	16	4	5	8	23	7	23	18	33	17	3	27	5	4	8	15	3
GO_TRANSPORT_VESICLE_MEMBRANE	0	4	16	4	0	9	18	22	10	0	5	11	4	0	5	0	0	0	8	18	17	14	17	3	4	0	9	0	5	2	13	8	8	8	10	4	4	5	13	3	17	11	18	12	3	16	0	0	6	11	2
GO_TUBULIN_BINDING	0	7	15	7	9	14	23	23	15	5	10	15	4	0	6	8	9	0	10	14	17	20	18	3	8	0	15	6	8	0	18	9	9	10	13	0	6	5	20	0	13	13	26	14	0	20	4	3	7	14	0
GO_T_TUBULE	0	0	6	4	5	4	7	8	0	2	0	3	0	0	0	0	3	0	2	4	3	9	8	0	2	3	5	0	3	0	4	5	2	6	3	2	2	2	5	0	4	5	6	5	0	6	0	0	3	4	0
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0	5	16	8	7	12	17	25	13	0	8	14	6	3	7	0	11	4	6	15	13	18	19	3	4	4	14	4	7	3	23	6	8	14	15	0	6	5	17	4	14	16	22	15	3	22	4	0	9	9	0
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0	2	4	2	2	3	6	7	5	3	0	4	0	0	0	0	2	2	2	6	3	8	8	0	3	3	5	0	2	0	7	6	5	4	3	2	3	2	6	2	7	6	6	4	0	6	0	0	3	0	2
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	0	2	4	2	2	3	6	6	5	3	0	4	0	0	0	0	2	2	2	6	3	7	7	0	3	2	4	0	2	0	6	6	5	4	3	2	3	2	5	2	7	5	6	4	0	5	0	0	2	0	2
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	3	4	12	13	11	6	20	21	15	6	3	15	0	0	0	3	10	5	7	15	12	18	24	3	13	9	16	0	8	0	16	11	12	14	10	4	8	6	14	4	16	17	21	15	0	15	5	0	8	10	3
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3	5	14	16	14	7	27	27	16	6	0	17	0	0	0	4	10	5	8	16	13	21	28	4	15	11	19	0	10	3	19	11	12	17	11	4	9	9	17	5	19	21	25	19	0	17	5	0	10	13	4
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0	2	8	10	8	3	13	13	10	3	3	11	0	0	2	2	8	3	5	9	9	10	16	2	10	6	10	0	5	0	8	5	6	8	7	2	5	4	7	2	7	10	15	10	0	8	4	0	5	8	0
