	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_PLASMA_MEMBRANE_REGION	1	1	1	1	1	1	1	1	1	0.212107462214	1	1	1	1	1	0.466557334945	1	1	1	1	1	1	0.00506384517072	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_POSTSYNAPSE	1	0.222171629566	1	1	1	1.93412188909e-05	0.000214529058095	1	0.691909955355	5.11437392703e-06	1	1	7.74468043474e-07	0.000513855409925	0.000375146450182	8.4001222258e-06	1	1	1	0.000217731354077	1	1	4.06180695167e-06	0.00053653503344	1	0.0133199615565	0.00609449849568	1.31143444393e-05	1	0.0918186773369	4.60008270742e-06	0.113935442798	0.0330508211325	0.00232946562135	1	1	1
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.688295160796	1	1	1	1	1	1	0.843718276183	1	1	1	1	1	1	1	0.843718276183	1	1	1	1	1	1
GO_POSTSYNAPTIC_MEMBRANE	1	1	1	1	1	0.735672348021	0.401880844924	1	1	0.00634104814327	1	1	0.0334950474222	0.58331176808	0.0360794898609	0.000448824834711	1	1	1	0.0584777106329	1	1	3.63009968485e-05	0.0846694427182	1	1	1	1	1	1	0.000307050251653	0.000511505352025	1	0.0989297655155	1	1	1
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.770300078003	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	0.000773774063531	1	1	0.0207389140708	0.753709987525	1	1	0.013916009006	1	1	1	1	0.591720737636	0.000109836976842	1	0.226032024242	1	1	1	1	1	1	1	0.725461427269	1	1	1	1	0.0929943678272	1	1	1	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	0.0453528261233	1	1	1	0.0912411812335	1	1	0.0190978731711	1	1	1	1	1	0.0100528334604	1	1	1	0.804080964158	1	1	1	1	1	0.00707266496676	1	1	1	1	1	1	1	1	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0105428033936	1	1	0.468898979609	1	1	1	0.0215600159955	1	1	1	1	1	3.87639168791e-05	1	1	1	1	1	1	1	1	1	0.0734243191658	1	1	1	1	0.165226716424	1	1	1	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	0.0651231318515	1	1	0.511569802219	1	1	1	0.000777819833866	1	1	1	1	0.147504264753	0.00142757405057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_PRESYNAPSE	1	0.732569550352	1	1	1	9.2437577373e-05	0.0528214602034	1	1	1	1	1	0.000453446324066	1	0.00668715881586	0.0	1	1	1	1	1	1	0.00329969323302	1	1	1	1	0.000296154456845	1	1	0.0161637532192	1	0.0688008358934	1	1	1	1
