	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0	7	0	0	0	10	10	0	0	13	0	4	10	9	10	13	3	0	5	12	4	0	9	14	0	7	0	0	0	7	9	7	9	8	0	4	0
GO_REGULATION_OF_EXOCYTOSIS	3	9	5	6	4	13	8	6	3	7	0	5	9	10	16	16	0	6	3	6	0	0	10	4	5	9	7	13	0	7	9	0	10	11	0	0	7
GO_REGULATION_OF_HORMONE_LEVELS	5	16	8	9	0	19	19	14	0	21	0	6	21	13	19	21	0	12	0	19	0	0	12	9	10	16	10	19	0	12	18	0	18	10	0	0	9
GO_REGULATION_OF_HORMONE_SECRETION	3	8	7	6	0	13	14	9	4	14	0	5	15	10	14	13	0	7	0	13	0	0	7	8	7	9	6	12	0	9	11	0	12	7	0	2	8
GO_REGULATION_OF_INSULIN_SECRETION	3	7	7	5	0	11	12	9	0	12	0	5	12	9	12	11	0	6	0	13	0	0	6	5	7	7	6	11	0	8	10	0	9	7	0	0	8
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	0	11	13	6	0	20	16	12	0	15	6	6	17	12	17	23	4	10	5	19	7	0	13	16	5	13	11	18	0	10	17	11	18	11	4	3	6
GO_REGULATION_OF_ION_TRANSPORT	0	14	18	12	9	31	23	12	0	19	7	7	22	18	22	31	6	15	7	24	8	4	22	20	7	17	14	24	0	15	24	16	25	18	7	3	9
GO_REGULATION_OF_MEMBRANE_POTENTIAL	0	10	10	6	5	30	18	15	6	22	3	8	21	12	21	27	6	9	6	23	9	4	17	16	8	15	13	20	0	13	22	13	14	15	5	0	0
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	9	22	14	14	17	34	28	20	16	26	7	13	27	33	29	28	9	21	10	39	14	8	34	13	13	22	24	40	0	18	27	21	25	28	11	5	12
GO_REGULATION_OF_NEURON_DIFFERENTIATION	6	18	11	12	15	31	22	17	10	20	6	11	22	27	23	22	7	18	6	30	13	5	28	11	13	18	21	35	0	13	24	18	21	23	8	0	10
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	5	12	8	8	12	25	17	14	7	16	6	10	15	22	18	16	5	13	5	22	10	4	23	8	9	15	13	25	0	11	19	12	15	17	7	0	8
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	3	11	4	6	4	16	11	7	4	8	0	6	13	12	16	15	4	5	3	8	0	3	17	4	4	8	8	12	0	9	13	5	13	14	0	2	4
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	2	8	3	5	4	11	5	6	3	6	0	4	6	6	11	11	3	4	2	5	0	2	10	0	3	6	6	7	0	5	9	0	7	11	0	0	4
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	3	8	7	6	0	13	13	9	4	13	0	5	14	10	14	12	0	6	0	13	0	0	6	7	7	8	6	12	0	9	11	5	10	7	0	0	8
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	3	9	5	5	4	11	7	6	0	6	0	3	7	6	13	14	2	0	0	0	0	0	8	0	3	6	6	9	0	6	9	0	9	10	0	0	5
GO_REGULATION_OF_SECRETION	5	18	13	13	8	30	23	15	8	22	0	9	26	21	30	29	5	16	0	20	8	0	24	15	13	18	13	25	0	17	22	12	25	22	0	0	13
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	2	8	4	5	5	10	10	6	2	9	0	5	9	8	13	11	2	4	0	6	0	2	12	3	4	9	5	10	0	6	10	5	11	11	0	2	6
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0	6	2	3	4	8	5	4	2	6	0	3	5	5	9	9	0	0	0	3	0	0	7	0	0	6	4	5	0	5	7	0	7	9	0	0	4
GO_REGULATION_OF_SYSTEM_PROCESS	0	0	10	9	8	28	14	12	6	18	0	6	17	12	21	27	5	17	8	30	12	4	22	17	0	18	14	18	3	16	25	13	13	19	7	0	0
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0	11	14	7	0	21	16	13	0	17	6	6	18	13	18	25	4	11	0	20	8	0	14	17	0	14	12	20	0	10	18	13	19	13	6	3	0
GO_REGULATION_OF_TRANSPORT	0	34	30	25	16	61	52	29	13	48	9	18	52	43	54	59	10	30	0	45	18	9	51	33	23	36	28	57	0	31	49	36	52	47	12	8	24
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	6	17	11	10	9	25	17	17	5	18	3	10	20	20	23	26	9	9	7	24	6	6	24	15	11	14	15	25	0	14	23	8	14	19	8	3	9
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	4	15	8	10	7	18	16	8	5	14	0	7	16	17	24	22	0	9	5	0	0	0	17	8	9	13	11	22	0	12	16	11	18	16	0	3	8
GO_SIGNAL_RELEASE	5	19	11	13	7	29	25	14	7	23	0	9	25	18	28	26	6	13	0	21	0	5	21	14	11	18	12	23	0	17	26	12	25	19	0	3	11
GO_SITE_OF_POLARIZED_GROWTH	0	8	3	4	4	14	12	4	6	10	3	5	10	8	9	16	0	0	0	10	0	0	10	4	3	4	6	14	0	8	10	7	8	0	0	0	8
