	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_POSTSYNAPSE	34	15	14	25	36	45	28	16	11	33	9	13	16	12	34	31	31	41	7	13	10	29	12	36	16	14	25	32	12	10	40	9	32	30	45	30	40	12	0	12	26
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	6	4	3	9	8	11	7	4	0	8	4	0	4	4	6	6	10	10	0	0	0	6	4	9	3	5	7	5	3	0	11	2	11	10	12	6	12	4	0	5	10
GO_POSTSYNAPTIC_MEMBRANE	11	9	7	15	20	23	15	12	6	21	6	10	11	8	16	16	19	22	3	6	6	15	8	20	11	10	14	17	7	5	22	5	20	17	27	15	22	6	0	6	16
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	6	5	4	11	10	13	7	5	0	10	5	2	4	4	8	7	12	11	0	3	0	7	4	11	3	5	9	6	3	0	12	3	12	10	14	7	15	4	0	6	11
GO_POTASSIUM_CHANNEL_ACTIVITY	12	11	8	5	17	14	9	4	0	11	2	4	7	5	12	9	14	17	2	10	6	11	6	8	5	5	10	8	8	6	9	2	8	10	17	8	10	4	0	7	8
GO_POTASSIUM_CHANNEL_COMPLEX	11	9	6	3	11	11	8	2	3	9	3	4	3	4	11	8	9	13	2	7	3	10	3	6	4	3	10	5	6	3	4	2	5	6	14	7	8	3	0	4	7
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	12	11	9	7	17	15	10	4	0	12	2	4	7	5	12	10	15	19	2	10	6	12	6	10	5	6	12	10	8	6	11	0	9	12	19	8	11	5	0	9	9
GO_POTASSIUM_ION_TRANSPORT	12	12	12	9	21	19	12	6	5	17	0	6	8	6	16	14	18	21	0	11	6	14	7	11	8	6	13	12	10	9	13	0	13	13	22	10	13	5	0	8	10
GO_PRESYNAPSE	33	12	14	20	34	39	21	11	9	24	5	10	15	15	30	26	31	39	7	9	10	22	9	31	13	15	20	23	10	8	35	10	26	23	37	27	32	9	5	12	18
GO_PRESYNAPTIC_MEMBRANE	10	3	0	7	10	13	10	5	0	12	0	4	6	4	10	8	9	14	3	0	0	8	3	13	5	4	8	8	0	0	10	3	6	6	12	9	10	3	2	0	7
GO_REGULATION_OF_BLOOD_CIRCULATION	9	7	10	9	20	22	9	6	0	14	0	0	8	10	14	9	17	23	0	8	8	18	7	15	9	7	18	10	4	4	14	7	16	17	22	10	19	0	6	10	10
GO_REGULATION_OF_BLOOD_PRESSURE	0	4	4	0	0	0	0	0	0	6	0	4	0	4	8	0	8	12	6	4	0	6	0	7	6	0	6	8	0	0	0	9	9	7	11	0	8	0	3	4	0
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	11	8	9	12	18	24	12	5	5	13	0	5	6	6	14	12	13	17	0	6	7	12	7	13	10	8	17	10	7	7	16	4	16	14	20	13	18	5	4	7	15
