TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
FEV	LUM	-0.23273	36.53	-5.3E-01	rgb(101,147,237)	1.7107	None
FOXC1	ATOH8	-0.23273	36.53	-5.3E-01	rgb(102,147,237)	1.7107	None
FOXC2	GPR63	-0.23273	36.53	-5.3E-01	rgb(101,146,237)	1.7107	None
NEUROD1	MYBPC1	0.23273	36.53	0.533	rgb(223,115,116)	1.7107	None
ASCL1	PKHD1	-0.23233	36.52	-5.2E-01	rgb(104,148,237)	1.7105	None
ASCL2	RYR3	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	None
EBF1	SSTR5	0.23233	36.52	0.52	rgb(223,118,119)	1.7105	None
EGR2	GDA	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	None
ELF3	GHRL	-0.23233	36.52	-5.2E-01	rgb(104,148,237)	1.7105	None
ETS1	BMP5	-0.23233	36.52	-5.2E-01	rgb(104,148,237)	1.7105	None
HOXA9	CLEC4G	-0.23233	36.52	-5.2E-01	rgb(105,149,237)	1.7105	2,2
LHX6	CHST8	-0.23233	36.52	-5.2E-01	rgb(104,148,237)	1.7105	None
PITX1	SRRM4	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	None
RELB	ELF3	0.23233	36.52	0.517	rgb(223,118,119)	1.7105	None
ST18	AK094525	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	2,2
TBX2	UNC93B1	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	None
TBX3	HPX	0.23233	36.52	0.519	rgb(223,118,119)	1.7105	None
TBX4	S100A3	-0.23233	36.52	-5.2E-01	rgb(103,148,237)	1.7105	None
EGR1	MAN1A1	0.23193	36.51	0.506	rgb(223,120,121)	1.7103	None
EHF	CNTFR	-0.23193	36.51	-5.1E-01	rgb(106,149,236)	1.7103	None
ETV4	DUSP6	0.23193	36.51	0.514	rgb(223,119,120)	1.7103	None
HOXA10	GPR3	0.23193	36.51	0.508	rgb(223,120,121)	1.7103	None
HOXA10	RSAD2	0.23193	36.51	0.514	rgb(223,119,120)	1.7103	None
HOXB3	JH8	0.23193	36.51	0.513	rgb(223,119,120)	1.7103	2,2
HOXD4	C11orf87	-0.23193	36.51	-5.1E-01	rgb(107,150,236)	1.7103	None
HOXD4	LMO2	0.23193	36.51	0.509	rgb(223,120,121)	1.7103	None
OSR2	KIAA1377	0.23193	36.51	0.511	rgb(223,119,120)	1.7103	2,2
POU5F1	CPLX1	0.23193	36.51	0.509	rgb(223,120,121)	1.7103	None
BHLHE40	TBX4	-0.23153	36.5	-5.0E-01	rgb(109,151,236)	1.7101	None
CEBPA	LMOD1	0.23153	36.5	0.5	rgb(223,121,122)	1.7101	None
DLX2	SLC25A47	0.23153	36.5	0.498	rgb(222,122,123)	1.7101	None
GATA3	TCRVB	0.23153	36.5	0.502	rgb(223,121,122)	1.7101	2,2
IRX2	AVPR1B	0.23153	36.5	0.501	rgb(223,121,122)	1.7101	None
KLF10	DLL4	-0.23153	36.5	-5.0E-01	rgb(107,150,236)	1.7101	None
SATB2	C15orf59	-0.23153	36.5	-5.0E-01	rgb(108,151,236)	1.7101	2,2
SIX2	ITPR1	-0.23153	36.5	-5.0E-01	rgb(109,151,236)	1.7101	None
SOX3	LOC340508	-0.23153	36.5	-5.0E-01	rgb(109,151,236)	1.7101	2,2
SPIB	GNG2	-0.23153	36.5	-5.0E-01	rgb(108,151,236)	1.7101	None
TFAP2A	HYDIN	0.23153	36.5	0.496	rgb(222,122,123)	1.7101	None
TFAP2B	DSC3	-0.23153	36.5	-5.0E-01	rgb(108,151,236)	1.7101	None
BACH2	PTPRN2	0.23113	36.49	0.494	rgb(222,123,124)	1.7099	None
FOXE3	HCN2	-0.23113	36.49	-4.9E-01	rgb(111,153,235)	1.7099	None
HOXA10	COMP	0.23113	36.49	0.491	rgb(222,123,124)	1.7099	None
HOXB3	GEM	0.23113	36.49	0.495	rgb(222,123,123)	1.7099	None
IRF4	POPDC3	-0.23113	36.49	-4.9E-01	rgb(111,153,236)	1.7099	None
NKX6-2	OTOGL	0.23113	36.49	0.488	rgb(222,124,125)	1.7099	None
POU5F1	MYT1	0.23113	36.49	0.491	rgb(222,123,124)	1.7099	None
SIX2	SCRT1	-0.23113	36.49	-4.9E-01	rgb(111,152,236)	1.7099	None
SP5	MAPK8IP2	0.23113	36.49	0.493	rgb(222,123,124)	1.7099	None
ZIC5	AMN	0.23113	36.49	0.486	rgb(222,124,125)	1.7099	None
ALX1	NTS	0.23073	36.48	0.477	rgb(222,126,127)	1.7097	None
ASCL1	MPPED1	-0.23073	36.48	-4.8E-01	rgb(114,154,235)	1.7097	None
BCL6	PAMR1	0.23073	36.48	0.481	rgb(222,125,126)	1.7097	None
CDX2	MMP24	-0.23073	36.48	-4.8E-01	rgb(113,153,235)	1.7097	None
ELF5	COL8A1	-0.23073	36.48	-4.8E-01	rgb(113,154,235)	1.7097	None
ESRRB	AK127224	0.23073	36.48	0.48	rgb(222,125,126)	1.7097	2,2
ESRRB	CSDC2	-0.23073	36.48	-4.8E-01	rgb(113,154,235)	1.7097	None
FOXN3	SPHK1	-0.23073	36.48	-4.8E-01	rgb(112,153,235)	1.7097	None
KLF7	MSH5	0.23073	36.48	0.475	rgb(222,126,127)	1.7097	None
NKX6-1	PLAC8	-0.23073	36.48	-4.8E-01	rgb(114,154,235)	1.7097	None
ONECUT2	HPSE2	0.23073	36.48	0.482	rgb(222,125,126)	1.7097	None
SOX9	DCN	-0.23073	36.48	-4.8E-01	rgb(112,153,235)	1.7097	None
AHR	DOCK8	-0.23033	36.47	-4.7E-01	rgb(114,155,235)	1.7095	None
BACH2	AK128833	0.23033	36.47	0.473	rgb(222,127,128)	1.7095	2,2
EHF	NLGN3	-0.23033	36.47	-4.7E-01	rgb(116,156,235)	1.7095	None
IRX1	HRH1	-0.23033	36.47	-4.7E-01	rgb(115,155,235)	1.7095	None
MNX1	FAM84A	-0.23033	36.47	-4.7E-01	rgb(115,155,235)	1.7095	2,2
MSX2	ADCY9	-0.23033	36.47	-4.7E-01	rgb(114,154,235)	1.7095	None
PTF1A	UNC5B	-0.23033	36.47	-4.7E-01	rgb(115,155,235)	1.7095	None
RXRG	PXDNL	0.23033	36.47	0.468	rgb(222,128,129)	1.7095	None
TBX2	FLJ46481	-0.23033	36.47	-4.7E-01	rgb(115,155,235)	1.7095	2,2
TFCP2L1	CDH22	0.23033	36.47	0.47	rgb(222,127,128)	1.7095	None
ALX1	IFFO2	0.22993	36.46	0.46	rgb(222,129,130)	1.7093	None
ALX1	IRS2	0.22993	36.46	0.456	rgb(222,130,131)	1.7093	None
ATOH7	HIST1H2BK	0.22993	36.46	0.46	rgb(222,129,130)	1.7093	2,2
FOS	ARID5B	0.22993	36.46	0.457	rgb(222,130,131)	1.7093	None
INSM1	ATP2A3	0.22993	36.46	0.459	rgb(222,129,130)	1.7093	None
MEF2C	RCAN1	0.22993	36.46	0.456	rgb(222,130,131)	1.7093	None
