	genes
FKBP1A-SDCBP2	3
ASIC5	2
C1orf173	2
AHNAK	3
UBE2Q2P2	3
BC150585	3
BMS1P6	3
CCDC39	2
SOGA3	1
AX747535	3
IFI44	3
PODN	3
CTTNBP2	1
SGOL1-AS1	3
CLSTN2	2
ANKRD20A9P	3
LOC202181	3
PTHLH	1
GRIN2C	4
ZNF514	1
C15orf61	3
CGREF1	0
NEAT1	0
RFTN2	1
AX748292	3
CHRNA3	0
C11orf92	3
FGF9	1
FHL1	2
AK025975	3
C19orf26	0
AX747850	3
CYMP	1
MUC3A	1
SMA5	3
AX746823	3
MAPK8IP2	3
AF086346	3
AK097012	3
DQ588114	3
AL832937	3
BC007880	3
E10222	3
CERS6-AS1	3
AK091624	3
AK293147	3
BC041654	3
AK027840	3
TBC1D3C	3
HSPA6	1
AK026392	3
TRO	4
AK128361	3
BC107568	3
RNF157	0
FAM21B	3
PCDH17	2
WDR96	0
AX747833	3
AK311113	0
AL832439	3
AK311497	3
CLEC4GP1	3
LOC100288123	3
DBC1	2
HV535469	3
LSAMP	0
GABRA1	1
AX747393	0
LY6H	2
LOC100188947	3
AK125727	3
UBE2Q2P1	3
LOC100130000	3
ADAMTS2	2
AK055257	3
PRR7	2
AK090700	3
DKFZp434A128	0
AK027252	3
BC041484	3
FER1L4	1
FKSG51	3
AK310876	3
AX747179	4
WISP1	3
AL110171	3
BC042374	1
KIAA0931	3
MAGEA5	3
AK316321	3
LOC727896	4
ADAM20P1	3
AK128593	1
SUMO1P3	3
GDAP1L1	0
TDRD6	3
STARD8	0
CYSLTR2	2
TAS2R20	3
LOC100132215	3
DKFZp779K0112	3
FLJ44955	3
ZNF788	3
IFNE	3
BC073807	3
LIPC	0
FAM95B1	3
LINC00514	0
GUSBP3	3
AX746995	3
LOC728175	4
LOC100216546	3
KCNAB2	0
Hfb1	2
AK095546	3
FBN1	2
C17orf65	3
AK023417	3
SERF2-C15ORF63	3
AX746869	3
PMS2L14	3
DKFZp586B1922	3
FAM57B	3
TNP1	3
AK025511	3
LOC388849	3
GRIK3	2
NXF2	3
LOC100507351	0
LINC00842	0
KLHL35	4
AX747175	3
AK124970	3
LOC644172	3
CORO2B	0
BC090058	3
AX747619	3
FLJ00278	3
GUCY1A3	2
LOC100527964	3
ATCAY	3
KCNA6	3
AF198444	3
TUBB2C	3
LOC100190986	3
IGF2	3
LOC286437	3
AK095045	2
AK091729	3
C19orf70	3
RIC3	3
OR51E2	3
BC053580	3
AK097119	3
ZRSR1	2
BC073932	3
HIST2H2BF	3
FAM157A	0
C9orf102	3
GPR119	2
AF116693	3
LOC100294362	3
AX748379	3
GPR123	3
AK127339	4
LOC100272216	3
CR933660	0
AK027332	3
PRKD1	3
TCL6	3
AX747264	3
FW340055	3
AK129879	3
BX648496	3
AK090844	3
N4BP2L2-IT2	3
LQFBS-1	3
BC073817	2
ANKRD36	3
MIR4697HG	3
LOC100131564	3
LOC100288332	3
FOXD4L5	3
ITGA4	4
HRH3	4
FW340024	4
RAD51L3-RFFL	3
AK126180	3
AK094909	3
AK124197	3
DQ571357	3
PCDHB14	3
LOC399744	3
DQ598910	3
S100G	3
HBT8	3
AK025664	3
AK097143	4
ACTG1P4	3
AX746640	3
AX747140	1
AX747648	3
IPO11-LRRC70	3
TRPA1	2
AK094156	3
PLCE1-AS1	3
HERV-Fb1	3
DQ573539	3
TACR3	2
BC041025	3
LOC100271836	0
AX746677	1
AK096291	3
TMEM56-RWDD3	3
ECEL1	3
AX746605	3
MARCH1	3
BC040358	3
AX748336	3
LOC595101	0
AK302511	3
LOC441081	3
C1orf110	3
FLJ45340	3
AX748052	3
LOC90834	0
HIF1A-AS2	3
AF289551	0
AK024248	0
AX746867	3
LOC400927	3
AB007962	3
C12orf55	3
FAM196A	3
AK309215	0
AK126532	3
C14orf105	3
AK128656	3
AK123332	3
TBC1D3H	0
AK126286	3
SNX29P2	3
WBSCR27	0
AL137655	0
AX747819	0
FOXD4L2	3
MGC4836	0
AK123654	3
AX748322	3
AK128563	3
AF420437	3
AK091275	3
BC041347	3
RSPH10B2	3
AX746764	3
AX748283	3
LOC731275	0
LOC100505716	0
SPRY3	3
CATSPER2	3
OCLM	3
AX747598	0
AK055910	4
AX746991	3
LOC100288069	3
AX747658	3
HV535487	0
LOC728407	0
BX641154	3
