	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_PEPTIDE_SECRETION	0	28	16	19	22	30	41	32	15	15	30	7	0	15	5	12	38	32	37	38	0	18	0	24	17	0	26	21	22	31	23	0	0	9	25	0	8	29	29	38	32	6	38	0	6	14	22
GO_PERIKARYON	5	17	9	8	10	18	19	17	7	10	13	3	4	5	0	6	14	10	17	19	0	6	5	18	8	0	18	7	0	14	9	0	0	5	12	0	3	14	12	19	16	0	16	4	3	11	10
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	12	28	27	23	25	49	47	32	17	17	29	0	10	15	0	14	35	25	42	49	7	24	16	36	0	6	33	19	20	38	24	8	12	14	27	0	10	32	38	51	42	5	39	0	0	0	28
GO_PLASMA_MEMBRANE_REGION	24	47	27	27	44	59	69	55	32	29	54	19	23	37	10	21	57	58	69	78	0	0	26	53	22	8	66	39	32	52	50	0	18	19	49	0	11	56	54	80	58	0	68	21	0	29	48
GO_POSITIVE_REGULATION_OF_ION_TRANSPORT	0	14	10	14	15	19	22	12	7	0	12	0	5	0	0	7	14	14	19	20	0	11	9	12	10	0	24	10	7	20	0	0	0	0	12	0	4	16	15	19	16	0	23	0	6	10	19
GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	0	5	0	0	0	0	7	0	0	0	8	0	0	0	0	0	5	0	8	7	0	4	0	6	0	0	8	0	4	0	0	0	0	0	6	0	2	5	0	8	7	2	8	0	8	4	5
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	0	5	0	0	0	5	6	4	0	0	8	0	2	0	0	0	5	0	8	7	0	4	0	5	3	0	8	0	4	0	0	0	0	0	6	0	2	5	0	8	7	2	8	0	8	3	5
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	6	13	6	10	10	15	15	16	8	6	10	4	0	6	0	5	11	14	17	18	0	5	5	13	5	4	18	9	9	12	10	4	0	0	11	0	4	17	11	17	13	0	19	0	4	7	11
GO_POSITIVE_REGULATION_OF_TRANSPORT	0	38	24	32	33	48	51	32	17	18	36	0	13	0	0	0	36	37	50	55	6	23	17	32	24	0	46	18	24	38	0	0	14	0	36	0	11	34	39	53	45	8	59	0	16	24	37
GO_POSTSYNAPSE	20	47	25	23	37	51	65	48	30	21	44	11	20	25	7	17	54	51	55	63	8	17	15	44	20	5	58	32	25	39	43	11	15	15	50	0	11	52	51	68	45	5	58	14	0	20	39
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	3	7	6	5	11	10	14	9	6	0	10	4	0	5	0	4	9	7	13	14	0	0	0	9	5	3	13	7	7	9	8	3	4	0	12	0	3	14	14	14	8	0	16	5	0	5	13
GO_POSTSYNAPTIC_MEMBRANE	9	19	14	11	21	29	36	27	21	12	27	7	15	16	4	10	29	26	34	37	4	8	10	25	12	4	34	21	16	25	24	7	8	8	26	0	7	33	29	41	27	3	34	7	0	9	24
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	4	8	7	6	13	13	17	9	8	4	12	5	3	5	0	4	12	9	16	15	0	4	3	11	5	3	15	7	7	11	9	3	4	0	14	0	4	16	15	17	10	2	19	5	0	6	15
GO_POTASSIUM_CHANNEL_ACTIVITY	3	13	14	10	7	21	20	13	6	4	14	3	4	8	4	6	14	11	16	21	3	13	7	16	7	0	10	7	6	13	9	0	8	7	11	0	3	11	15	22	14	2	13	5	0	8	12
GO_POTASSIUM_CHANNEL_COMPLEX	4	13	12	9	6	15	17	12	5	6	12	3	4	4	2	5	13	10	11	17	2	10	4	16	4	0	9	7	4	13	7	0	6	4	6	0	2	8	11	20	13	2	12	4	0	5	11
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	13	14	11	9	21	21	14	6	0	15	3	4	8	5	6	14	12	17	23	3	13	7	17	7	0	12	7	7	15	11	0	8	7	13	0	3	12	17	24	14	2	14	6	0	10	13
GO_POTASSIUM_ION_TRANSPORT	0	17	17	16	13	28	27	17	9	7	21	0	6	9	5	8	20	18	23	27	3	15	7	21	9	0	15	11	7	18	14	0	10	10	16	0	3	18	18	29	19	0	18	6	0	11	16
GO_PRESYNAPSE	20	43	20	22	30	46	54	35	21	14	33	9	14	19	10	20	43	40	48	57	7	16	16	35	18	6	45	26	21	30	32	14	14	11	42	3	10	41	40	57	42	5	45	12	7	17	28
GO_PRESYNAPTIC_MEMBRANE	5	15	7	7	10	13	18	16	9	5	16	3	7	7	4	6	14	12	16	21	3	0	6	15	7	2	19	10	0	13	11	5	0	0	13	0	3	13	12	20	14	3	14	5	3	0	10
GO_REGULATION_OF_BLOOD_CIRCULATION	7	15	12	13	17	27	28	16	10	0	19	0	0	10	0	12	19	17	25	30	3	11	9	24	9	4	22	16	13	27	14	0	6	8	18	2	7	24	27	31	19	0	26	0	6	13	16
GO_REGULATION_OF_BLOOD_PRESSURE	4	0	0	6	0	10	0	0	0	0	0	0	4	0	3	0	11	0	14	16	7	6	0	9	0	3	9	10	5	10	9	0	0	0	0	0	9	12	10	15	11	5	11	0	4	6	7
GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY	0	11	7	10	12	13	19	12	8	5	9	0	4	0	0	5	12	12	15	13	0	6	5	12	9	2	14	10	7	16	0	0	5	4	13	0	4	20	14	16	13	0	16	5	3	10	13
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	0	19	12	15	21	25	33	20	10	9	19	0	9	0	0	9	22	20	22	26	0	12	11	20	11	3	23	16	9	26	14	6	8	9	19	0	5	26	22	29	27	0	28	7	5	11	22
GO_REGULATION_OF_CELL_DEVELOPMENT	18	41	23	26	40	59	61	46	26	21	35	0	16	27	0	18	40	49	58	54	8	31	18	52	23	7	59	22	31	49	42	14	15	0	52	0	10	42	51	66	46	0	63	18	17	25	34
GO_REGULATION_OF_CELL_MORPHOGENESIS	10	28	11	14	18	35	31	21	0	0	16	0	8	16	0	0	20	23	31	26	5	13	0	24	14	4	31	0	19	27	20	9	8	8	26	0	6	21	31	34	21	0	30	10	10	0	19
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	15	32	20	20	30	49	49	36	20	18	28	10	16	27	0	16	31	40	40	42	5	21	18	41	22	5	49	18	22	35	28	8	11	0	37	0	8	33	39	51	36	0	45	14	12	18	28
GO_REGULATION_OF_EXOCYTOSIS	8	15	8	10	11	18	20	15	7	10	12	8	0	8	6	6	14	17	23	22	0	8	6	9	0	0	18	6	10	14	12	0	0	0	16	0	3	16	14	20	16	3	21	7	0	15	11
GO_REGULATION_OF_HEART_RATE	4	8	5	7	0	14	16	7	5	0	10	0	0	6	0	5	12	8	10	13	0	5	5	12	4	0	10	9	4	11	9	0	0	3	8	0	3	8	10	17	10	0	9	0	4	6	6
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	2	5	4	5	0	10	12	5	3	0	6	0	0	5	0	2	6	6	8	10	0	4	4	6	3	0	7	5	4	7	4	0	2	2	5	0	0	4	9	10	6	0	7	0	2	4	5
GO_REGULATION_OF_HORMONE_LEVELS	0	33	16	18	21	34	44	32	15	14	34	0	0	14	5	15	41	27	43	43	0	18	0	25	12	0	31	18	21	31	22	0	0	10	28	0	11	35	30	46	33	8	37	0	10	13	25
GO_REGULATION_OF_HORMONE_SECRETION	0	20	10	12	15	23	31	20	10	9	21	0	0	9	3	7	27	18	27	25	0	11	0	15	8	0	18	12	14	17	14	0	0	0	15	0	6	22	17	28	23	6	23	0	5	9	15
GO_REGULATION_OF_INSULIN_SECRETION	0	16	8	9	11	17	25	16	7	8	15	4	0	6	0	5	20	16	21	20	0	9	0	13	5	0	14	9	13	14	12	0	0	0	13	0	4	15	14	21	16	4	19	0	0	8	12
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	8	28	22	22	23	47	48	31	14	11	29	0	12	15	0	14	33	28	34	41	5	21	16	28	16	4	32	23	16	33	21	8	17	15	29	0	8	40	33	45	39	0	34	9	0	16	26
GO_REGULATION_OF_ION_TRANSPORT	14	34	27	29	27	61	60	35	16	17	36	0	17	20	8	18	42	37	44	53	8	27	19	35	19	5	47	27	21	40	28	9	19	17	36	0	11	51	41	57	49	4	47	13	9	24	30
GO_REGULATION_OF_LIPID_TRANSPORT	0	0	0	0	0	0	8	0	0	0	10	0	0	0	0	0	6	0	8	8	0	5	0	6	0	0	10	0	5	0	0	0	0	0	6	0	3	0	0	12	11	2	11	0	8	4	6
GO_REGULATION_OF_MEMBRANE_POTENTIAL	0	27	23	20	15	51	49	36	16	12	36	0	10	16	6	14	37	30	37	46	7	17	17	35	14	4	34	22	19	34	27	8	15	13	27	0	10	35	33	51	38	4	38	10	5	19	24
GO_REGULATION_OF_METAL_ION_TRANSPORT	0	19	12	15	18	28	32	19	9	10	22	0	10	10	0	11	26	22	20	26	0	13	12	22	10	0	28	18	0	26	15	6	9	10	17	0	0	25	21	29	29	0	28	8	5	11	20
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	22	44	24	25	42	60	62	47	28	21	36	0	16	28	7	18	43	51	58	56	9	29	18	55	24	9	62	24	30	48	42	14	16	0	53	0	10	46	53	69	48	0	65	18	15	28	37
GO_REGULATION_OF_NEURON_DIFFERENTIATION	14	36	20	20	33	51	49	35	17	18	27	9	13	24	0	15	33	40	44	44	7	25	13	42	21	6	49	17	25	39	34	12	11	0	45	0	9	33	44	51	35	0	50	13	12	20	28
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	13	28	17	16	27	42	40	29	14	14	22	7	12	21	0	11	24	31	35	34	5	20	12	33	18	5	42	13	18	32	23	8	9	0	34	0	7	28	36	40	28	0	40	12	11	15	26
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	10	21	10	13	14	20	24	17	8	11	14	8	4	11	6	6	16	19	25	24	4	8	7	14	8	3	24	8	8	14	16	0	5	0	17	0	4	19	21	26	21	5	25	7	0	12	9
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	5	12	5	7	9	13	15	12	4	8	9	6	0	6	3	0	8	11	15	14	3	5	4	8	0	2	14	4	4	8	9	0	0	0	9	0	3	10	12	13	11	2	16	5	0	9	7
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	0	18	9	11	13	20	27	19	9	9	17	4	0	8	3	5	23	17	24	23	0	9	0	14	7	0	15	11	14	16	13	0	0	0	14	0	5	18	16	24	19	5	20	0	3	8	13
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0	11	0	0	0	17	16	14	6	5	11	5	4	5	0	0	13	8	10	9	3	4	4	14	0	0	13	0	6	14	8	0	0	0	9	0	4	9	9	17	13	2	13	4	0	4	9
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	8	14	7	8	9	15	17	12	0	8	9	7	0	6	6	5	10	12	18	18	2	5	4	7	0	0	14	0	6	10	11	0	0	0	11	0	3	12	14	15	12	3	18	4	0	13	8
GO_REGULATION_OF_SECRETION	14	37	23	28	33	49	57	38	20	21	39	11	11	19	10	13	45	39	53	53	7	23	11	29	21	5	45	21	27	38	28	8	0	0	33	0	11	42	35	54	46	10	53	11	10	24	27
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	11	16	10	9	12	23	17	15	11	0	11	0	5	9	3	0	18	18	19	19	3	0	0	17	0	3	20	11	10	12	12	5	5	6	17	0	3	12	14	22	12	0	17	5	0	6	14
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	5	14	7	11	11	17	18	13	8	0	11	4	0	6	3	7	12	13	16	18	0	8	6	15	10	0	21	10	12	15	11	4	4	0	16	0	0	14	14	20	16	2	22	6	4	6	18
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	6	13	5	7	13	14	20	10	4	6	11	7	3	9	3	5	11	13	16	13	2	5	4	8	0	2	16	5	6	11	10	0	4	3	13	0	3	11	15	16	13	2	16	4	0	9	11
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	4	10	3	4	7	10	13	8	3	6	8	6	0	5	2	0	7	9	12	11	0	3	3	5	0	0	11	3	0	7	7	0	0	0	7	0	2	9	10	10	9	2	13	4	0	8	7
GO_REGULATION_OF_SYSTEM_PROCESS	0	26	23	27	31	48	42	30	15	0	32	9	0	16	0	17	31	30	41	48	5	24	16	42	23	6	40	24	19	43	28	8	11	11	31	3	9	38	41	53	37	4	52	12	11	22	31
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0	29	24	25	24	50	52	35	16	14	32	0	12	17	0	14	35	31	37	45	5	23	17	30	17	4	35	25	18	35	25	9	19	15	31	0	8	44	36	52	42	0	40	12	0	19	28
GO_REGULATION_OF_TRANSPORT	25	78	52	58	67	117	122	77	34	41	85	20	30	51	16	31	85	83	103	109	13	48	30	68	41	11	100	48	53	77	62	19	34	29	80	0	23	94	84	129	104	14	114	30	19	48	66
GO_REGULATION_OF_TRANSPORTER_ACTIVITY	0	16	10	12	19	19	26	18	10	9	16	0	8	7	0	7	17	18	18	22	0	8	7	13	11	3	21	14	10	22	10	5	9	7	16	0	5	24	20	23	20	0	24	7	0	11	17
