TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
TP63	MAPK8IP2	0.36668	43.55	0.55	rgb(223,112,113)	1.851	None
EHF	MARCH3	0.23797	48.7	0.699	rgb(225, 84, 85)	1.954	2,2
SIX2	MARCH3	-0.54953	47.06	-6.2E-02	rgb(204,209,219)	1.9212	2,2
TP63	MARCH3	0.37006	43.59	0.588	rgb(223,105,106)	1.8518	2,2
TP63	MARCH4	0.37805	43.68	0.676	rgb(224, 88, 89)	1.8536	2,2
EHF	MBOAT1	0.79813	50.42	0.423	rgb(222,136,137)	1.9884	None
EHF	MCAM	-0.37621	43.66	-6.6E-01	rgb( 73,129,242)	1.8532	None
EHF	ME3	0.3698	49.27	0.272	rgb(220,165,166)	1.9654	None
EHF	MEG3	-0.8508	50.65	-6.5E-01	rgb( 76,131,242)	1.993	None
SIX2	MGAT4C	0.45351	49.77	0.77	rgb(225, 70, 72)	1.9754	None
SIX2	MIA2	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
SIX2	MICAL2	-0.47081	45.57	-5.7E-01	rgb( 93,142,239)	1.8914	None
RUNX1	MINOS1-NBL1	-0.13791	38.49	-4.9E-01	rgb(111,153,236)	1.7498	2,2
TP63	MIR23B	-0.017445	47.27	-2.7E-01	rgb(159,182,227)	1.9254	2,2
SIX2	MMP24	-0.75228	49.76	-7.6E-01	rgb( 53,117,246)	1.9752	None
EHF	MOK	-0.96932	50.87	-8.7E-01	rgb( 28,102,250)	1.9974	None
EHF	MOXD1	0.72421	50.83	0.829	rgb(226, 59, 60)	1.9966	None
RUNX1	MOXD1	0.99329	50.93	0.935	rgb(227, 38, 40)	1.9986	None
TP63	MOXD1	0.67968	48.96	0.959	rgb(228, 34, 36)	1.9592	None
EHF	MPC2	0.38842	43.93	0.934	rgb(227, 39, 41)	1.8586	None
EHF	MPHOSPH10	0.13018	47.93	0.934	rgb(227, 39, 40)	1.9386	None
EHF	MPV17L	-0.86846	50.69	-6.9E-01	rgb( 68,126,243)	1.9938	None
EHF	MSH5	0.65758	48.71	0.709	rgb(225, 82, 83)	1.9542	None
EHF	MSX2	0.092322	47.79	0.787	rgb(226, 67, 68)	1.9358	None
EHF	MTHFD2	0.92054	50.98	0.982	rgb(228, 30, 31)	1.9996	None
SIX2	MTHFD2	0.50922	49.9	0.896	rgb(227, 46, 48)	1.978	None
EHF	MUC13	0.52681	49.93	0.927	rgb(227, 40, 42)	1.9786	None
EHF	MYBPC1	-0.67187	48.83	-8.3E-01	rgb( 38,108,248)	1.9566	None
SIX2	MYBPC3	0.85281	50.93	0.928	rgb(227, 40, 42)	1.9986	None
EHF	MYO18B	0.20348	48.55	0.553	rgb(223,111,112)	1.951	None
RUNX1	MYT1L	0.0006597	35.28	0.278	rgb(220,164,164)	1.6856	None
EHF	NAALADL2	0.38882	49.47	0.468	rgb(222,128,129)	1.9694	None
EHF	NAV3	-0.14374	38.57	-5.7E-01	rgb( 94,142,239)	1.7514	None
EHF	NCCRP1	-0.98036	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
EHF	NEBL	-0.76287	49.83	-8.3E-01	rgb( 37,108,249)	1.9766	None
RUNX1	NEFM	0.03031	47.42	0.42	rgb(222,137,138)	1.9284	None
RUNX1	NES	0.19564	39.85	0.847	rgb(226, 55, 57)	1.777	None
TP63	NEU4	-0.12461	47.91	-9.1E-01	rgb( 20, 97,252)	1.9382	None
EHF	NEURL1B	-0.48935	47.61	-7.8E-01	rgb( 48,114,247)	1.9322	None
RUNX1	NEURL1B	0.13901	38.52	0.523	rgb(223,117,118)	1.7504	None
TP63	NEURL1B	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
TP63	NFKB2	0.060253	36.58	0.577	rgb(223,107,108)	1.7116	None
EHF	NFKBIZ	0.70782	50.59	0.591	rgb(224,104,105)	1.9918	None
SIX2	NFKBIZ	-0.65758	48.71	-7.1E-01	rgb( 63,123,244)	1.9542	None
SIX2	NGF	-0.99692	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
TP63	NGFR	0.97266	50.88	0.876	rgb(227, 50, 52)	1.9976	None
TP63	NKD1	0.64427	48.6	0.598	rgb(224,103,104)	1.952	None
EHF	NKX6-1	0.87528	50.96	0.963	rgb(228, 33, 35)	1.9992	None
EHF	NLRP3	-0.40106	49.56	-5.6E-01	rgb( 96,143,238)	1.9712	None
SIX2	NLRP3	0.18626	39.58	0.581	rgb(223,106,107)	1.7716	None
EHF	NME1-NME2	-0.94678	50.85	-8.5E-01	rgb( 33,105,249)	1.997	None
EHF	NME5	-0.94327	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
