Unnamed: 0	wt_0_8h_8hpi_1	wt_0_8h_8hpi_2	wt_0_8h_8hpi_3	wt_100_8h_8hpi_1	wt_100_8h_8hpi_2	wt_100_8h_8hpi_3	wt_0_8h_24hpi_1	wt_0_8h_24hpi_2	wt_0_8h_24hpi_3	wt_100_8h_24hpi_1	wt_100_8h_24hpi_2	wt_100_8h_24hpi_3	wt_0_8h_48hpi_1	wt_0_8h_48hpi_2	wt_0_8h_48hpi_3	wt_100_8h_48hpi_1	wt_100_8h_48hpi_2	wt_100_8h_48hpi_3	wt_0_8h_72hpi_1	wt_0_8h_72hpi_2	wt_0_8h_72hpi_3	wt_100_8h_72hpi_1	wt_100_8h_72hpi_2	wt_100_8h_72hpi_3
AB074166	7.129877350805559	7.20301664199337	7.190809558423769	7.27192801836388	7.052510144800429	7.089131395509219	7.24611117292805	7.0112534394382795	7.17168892067214	7.12930356978714	7.187919950887459	7.117769962854671	7.25529836364066	7.50142681661317	7.412210067931969	7.0754816717496105	6.82935321877711	6.918569967458299	7.23714438650828	7.06669509228993	7.34766123141157	7.04900094155707	7.39569158816487	7.02443995584216
AB074188	7.125683198313	7.05802745620066	7.16494114672292	7.070854942048791	7.2738221683858	6.95308109681901	6.74001600056675	6.63717618924332	6.786962662562031	7.28297399226109	7.256011245519639	7.18739497336774	6.76199529245821	6.654722228411679	6.8465556864059405	7.46195697603568	7.569230040082211	7.37739658208795	6.75455410322198	6.8231578959188	6.781428354347	7.670360440937969	7.731559206306031	7.69211854671101
AB075489	8.09165125401872	8.171760190241361	8.09758110088179	8.849536715147421	8.60920990647949	8.831747174558188	8.96855672468638	8.84321417016949	8.85374649477336	8.646194861122181	8.54945155711265	8.78055660533396	8.43699985901817	8.17352027737816	8.3547320607391	8.12524537958361	8.38872496122362	8.20751317786269	7.40726885561372	7.59674227828777	7.776524222829879	8.102470035781291	8.13508247163364	7.713663154266349
AB075492	7.0892987101689195	7.120187749827501	7.128444156833429	7.01353519286221	6.92086807388646	6.89609885286868	7.12797067092623	6.896055407679629	6.9947058844434595	6.98288002807486	7.1294745808336	6.9424889087542	7.00021014135731	7.234676373016749	7.14769357965091	7.14050552032717	6.90603928866773	6.99302208203357	7.03836362918402	7.147565009815309	7.34537906112155	7.13221699518386	7.10833632504043	6.99885746904975
AB209061	8.79872965983995	8.76090516904461	8.851913699976091	8.80788267072108	8.921356143107081	8.648330550312659	8.65988732447812	8.71828271126799	8.72807062008663	8.7273861051731	9.14877783486898	8.766633926567	8.88506878686454	9.00521001607189	8.86116441818424	8.71696703825593	8.59682580904858	8.74087140693622	8.93514081955076	8.874006458947509	8.82812989965914	8.88165740103895	8.46300464515645	8.88123720392816
AB209185	7.43999249536798	7.545271428501691	7.643423709318331	8.010665507829259	7.69482870842815	7.40037186597822	7.65504602112975	7.45846486214594	7.6053891601166494	7.523550513459471	7.7445444536452905	7.75764188252333	7.5239819295782	7.821155766237579	7.73871887463992	7.64133956738841	7.34416573072902	7.426602622326679	7.585383193333691	7.5615373633697995	7.57372698658957	7.56666326601029	7.566096314772169	7.39388496470366
AB209315	6.892059579056911	6.91750900916614	6.9364095540946	6.72349543773866	6.647147147410981	6.5904455126256005	7.02413985170003	7.12557025888725	6.84125986170877	7.08020257017764	6.6242925293051504	6.89574235890084	6.8798900964364895	6.64212674441844	6.8972100220657095	6.81994699101821	7.057710343036259	6.80262706538899	6.35627506931739	6.9311298763740705	6.48346614955647	6.93905668371434	6.71868151034292	7.179205804743309
AB209621	6.5951238059729596	6.60350246478159	6.60617411951335	6.67672214065883	6.65158616423296	6.643571200037661	6.54771260445885	6.60855759205988	6.681001794655041	6.5352729287615	6.570789365946389	6.527225802624919	6.6106259016284294	6.544504165635231	6.540972002347949	6.62042087766042	6.68654261365363	6.6900747769409	6.73137748691339	6.695970090899941	6.54876342771835	6.6477305384439696	6.5867765096715	6.7051025335794
AB231702	6.331417012262371	6.331417012262371	6.331417012262371	6.331417012262371	6.331417012262371	6.331417012262371	6.26227088717312	6.2522261956674505	6.331417012262371	6.26227088717312	6.40339568485	6.331417012262371	6.24968362773884	6.331417012262371	6.331417012262371	6.413150396785901	6.331417012262371	6.331417012262371	6.538855387530121	6.41781997286456	6.331417012262371	6.26227088717312	6.2522261956674505	6.331417012262371
AB231711	6.310426695533071	6.310426695533071	6.26926921988905	6.310426695533071	6.310426695533071	6.43389912246513	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071	6.310426695533071
AB240015	6.33952574506067	6.400342207746661	6.476059364860691	6.58279159580462	6.400342207746661	6.173190736404541	6.36037995342484	6.321151391151741	6.32344187146876	6.36037995342484	6.472320880334291	6.32344187146876	6.52132588713129	6.400342207746661	6.482267503658531	6.279358528362019	6.400342207746661	6.31841691183478	6.52022897071209	6.48674516834885	6.631043216580349	6.36037995342484	6.321151391151741	6.32344187146876
AB429224	6.3233612513641795	6.36216491885752	6.28220377572016	6.3233612513641795	6.20695024888416	6.44683367829624	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795	6.3233612513641795
AB488780	7.1943021096022495	7.149895512392981	7.22560155524578	7.126940667312651	7.2601604589404705	7.0330423303820595	7.19806877654663	7.02075950574809	7.093851743958	7.2402023075411295	7.24036431988642	7.16696042410091	7.13787418476465	7.1023801396480595	7.062126996987639	7.21704931329505	7.25254335841164	7.2927965010720595	7.171234349355201	7.29469621290637	7.26982405469743	7.10034156267645	7.15402695757852	7.17921077336306
AB586698	6.33954437287174	6.394394644334169	6.33954437287174	6.33954437287174	6.174993558484429	6.33954437287174	6.2008786155669995	6.33954437287174	6.33954437287174	6.42640901897752	6.33954437287174	6.33954437287174	6.33954437287174	6.33954437287174	6.33954437287174	6.33954437287174	6.33954437287174	6.33954437287174	6.36072763285425	6.33954437287174	6.33954437287174	6.370162224088191	6.33954437287174	6.33954437287174
ABAT	9.08120994581594	8.96921362415364	8.99518371322093	9.477857673234821	9.8138466382217	9.735936371019829	9.32011477192746	8.98751414573583	9.076743621267019	9.178135163599961	9.29437061813694	9.23762171551762	8.941427378382961	8.95161571700934	8.98143423409623	9.41931637695835	9.40912803833198	9.37930952124508	8.897973490442471	9.05760227708903	8.98128237159918	9.32526408471275	9.382000469720829	9.42583980229882
ABCA1	11.999978544235	12.1507850402405	12.087636883195698	11.8292414435451	11.3768219555286	11.566266426662901	11.924750022026998	11.672171192838302	11.8418632809651	11.601636007472699	11.6009512398555	11.4143339532302	12.047301414145698	12.0428876392519	12.0892285786573	11.8672871239793	11.871700898873101	11.8253599594678	12.604833432624199	12.698648186043197	12.4658199319766	11.697957614126198	11.857406457513099	12.107159910078302
ABCA10	6.75917080571593	6.793225119438679	6.79088114019131	6.79182348347893	6.6896605423106905	6.696692480052789	6.68425159051335	6.69293957401239	6.878533520135269	6.74257364806194	6.59074809256332	6.72852942843314	6.6935720150387095	6.6941097461455	6.61718204352243	6.84109593527465	6.840558204167861	6.9174859067909304	6.690819006518099	6.86859991501426	6.69909658945035	6.95169165553335	6.917048319036749	6.76317636260797
