	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_ION_TRANSMEMBRANE_TRANSPORT	7	0	32	21	19	0	0	0	0	0	0	0	28	10	45	47	26	0	14	32	0	0	0	0	0	0	0	12	15	6	16	6	31	29	0	35	41	10	17	12	33	0	12	0	31	26	18	36	20	6	13	14	0	30	0	10	31	33	49	32	0	0	33	9	0	0	12	13	0	18	0	22	0	5
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5	0	22	18	14	0	0	0	2	0	0	0	19	8	38	33	18	0	0	22	0	0	0	0	0	0	0	7	11	6	12	4	21	18	0	29	34	8	14	12	26	0	9	0	22	18	14	23	0	0	9	9	0	23	0	8	18	26	35	25	3	0	24	0	0	0	7	10	0	14	0	17	0	4
GO_ION_TRANSPORT	7	0	38	25	23	0	0	0	0	0	0	0	30	12	57	59	28	0	20	37	0	0	0	0	0	0	0	13	19	8	20	7	40	38	0	43	53	11	23	16	42	0	0	0	42	29	19	40	25	0	16	17	0	35	0	12	41	42	57	43	0	0	44	13	0	0	14	18	0	24	0	25	0	6
GO_IRIS_MORPHOGENESIS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_ISOPRENOID_BINDING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_ISOPRENOID_METABOLIC_PROCESS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
GO_I_BAND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	4	0	0	4	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
GO_JNK_CASCADE	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	6	0	0	0	0	0	0	0	4	5	0	0	0	0	0	5	0	0	0	0	6	0	0	0	7	0	0	2	2	0	0	0	0	3	4	0	0	0	5	0	0
GO_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_KERATINOCYTE_PROLIFERATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	2	0	0
