	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF492	ZNF519	ZNF846
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	7	20	12	9	20	29	29	19	8	13	16	4	2	5	9	15	0	8	19	24	23	21	5	14	7	23	12	4	27	9	13	21	18	4	25	0	5	19	24	29	19	27	9	0	6	9	17
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	7	17	6	6	10	17	19	10	4	9	8	5	0	6	3	8	4	0	15	15	17	16	4	5	4	9	0	3	19	5	6	10	13	0	12	0	4	13	14	17	16	18	0	4	7	9	5
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	5	11	4	5	7	11	12	9	3	7	6	4	0	5	0	5	3	0	8	9	11	11	3	4	0	6	0	2	12	3	4	8	8	0	7	0	3	8	10	10	9	14	2	0	4	8	5
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	3	12	8	7	9	13	19	13	6	7	13	0	2	4	0	7	0	4	15	14	16	13	0	6	0	13	0	0	7	9	9	9	8	0	12	0	0	11	11	16	12	13	0	0	4	5	11
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	6	12	6	5	8	11	14	8	0	6	6	4	0	6	0	4	4	3	9	9	13	14	2	0	0	5	0	0	10	0	5	8	9	2	9	0	3	9	10	11	10	14	0	0	4	10	6
GO_REGULATION_OF_SECRETION	10	26	16	15	20	32	38	22	12	16	24	8	3	8	0	13	4	9	28	28	32	32	5	16	0	21	11	0	27	17	20	23	18	5	25	0	5	25	23	34	29	34	6	0	10	13	18
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	8	14	7	5	7	15	12	11	8	0	10	0	0	0	3	0	3	4	15	14	12	12	3	0	0	13	0	3	11	7	5	7	8	4	12	0	3	7	10	18	8	11	4	0	0	4	8
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	4	12	5	4	7	11	12	8	3	0	9	5	0	0	0	5	3	5	11	11	9	12	2	5	4	11	5	0	14	8	7	7	8	2	11	0	0	7	10	16	9	12	4	0	0	4	11
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	5	12	5	5	11	11	18	8	0	5	9	6	2	6	0	7	3	4	11	11	13	11	2	4	0	7	0	2	14	5	5	10	8	0	10	0	3	10	12	14	12	14	0	2	4	8	8
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	4	9	3	3	6	8	11	6	2	5	6	4	0	5	0	4	2	0	7	8	9	9	0	0	0	4	0	0	9	3	0	7	6	0	5	0	2	8	8	8	8	11	0	0	3	7	5
GO_REGULATION_OF_SYSTEM_PROCESS	0	14	12	14	16	31	26	18	10	0	19	5	0	0	0	11	0	11	18	18	23	28	5	18	9	30	13	4	26	18	13	25	16	4	18	3	4	21	25	33	19	30	7	6	7	12	15
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0	18	15	12	14	28	31	17	0	0	18	0	0	0	8	11	3	0	19	17	19	25	5	12	8	21	9	0	17	18	9	19	13	4	20	0	6	22	19	32	23	20	7	8	9	10	15
GO_REGULATION_OF_TRANSPORT	15	52	35	32	39	73	82	43	19	30	51	14	5	13	15	34	10	17	54	55	61	64	11	31	15	48	24	9	61	35	34	46	37	10	57	0	13	54	52	81	61	70	16	16	21	31	39
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	9	26	13	10	16	29	30	21	6	11	18	9	3	8	4	13	7	8	25	24	24	28	9	9	7	25	7	6	28	16	14	19	20	4	25	0	7	19	24	32	19	30	10	7	6	12	20
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	7	19	10	10	16	20	27	13	6	11	14	8	0	8	0	12	6	7	18	21	24	24	0	9	0	12	0	0	22	10	14	17	16	4	22	0	4	19	18	26	22	27	5	0	7	13	13
GO_RENAL_SYSTEM_PROCESS	0	0	4	6	0	8	6	6	4	6	7	2	0	0	0	5	0	3	7	7	9	8	3	7	4	8	0	0	10	10	5	8	6	0	0	0	0	7	5	11	8	10	2	0	0	0	5
GO_SIGNAL_RELEASE	9	27	14	14	18	30	39	20	9	14	24	7	3	8	0	15	4	8	28	24	31	28	6	13	0	22	7	5	25	16	16	20	19	0	23	0	7	25	27	31	29	32	0	7	11	14	17
GO_SITE_OF_POLARIZED_GROWTH	3	10	4	5	8	14	15	10	6	8	10	2	0	0	3	5	2	4	10	8	11	16	0	0	0	10	5	0	11	4	5	0	9	3	14	0	4	9	11	14	9	6	0	0	4	5	9
GO_SODIUM_CHANNEL_ACTIVITY	0	6	6	2	2	6	5	6	0	2	3	0	0	0	0	0	0	3	4	0	0	4	3	0	2	4	3	0	4	3	2	6	0	0	4	0	3	0	4	7	5	0	0	0	0	2	2
GO_SOMATODENDRITIC_COMPARTMENT	17	48	21	19	31	51	56	35	13	18	38	8	0	7	12	18	7	19	45	40	47	58	12	21	14	41	16	6	47	24	23	38	39	7	44	0	12	40	46	59	40	43	12	16	15	19	32
GO_SYNAPSE	26	64	32	27	46	73	82	53	24	28	55	11	7	14	18	30	13	22	68	68	70	83	17	26	21	63	24	16	69	39	35	45	54	11	66	6	16	63	63	90	55	71	18	21	25	26	43
GO_SYNAPSE_ASSEMBLY	7	7	5	0	6	9	10	9	6	4	8	2	5	3	3	0	3	4	11	7	11	9	3	4	3	11	0	6	15	6	4	6	0	4	8	4	3	7	8	15	6	12	4	6	0	0	0
GO_SYNAPSE_ORGANIZATION	13	25	11	9	15	26	24	21	11	10	18	6	6	0	5	9	4	7	25	21	21	24	8	9	0	23	6	9	22	16	9	11	15	7	25	5	8	15	20	31	17	23	6	9	0	6	11
GO_SYNAPTIC_MEMBRANE	8	22	10	7	17	23	27	20	11	11	21	5	2	5	6	13	5	6	25	20	25	30	5	0	5	22	7	4	30	17	11	18	21	6	21	0	4	23	22	32	21	25	5	4	8	9	14
GO_SYNAPTIC_SIGNALING	16	37	20	15	24	45	47	31	12	17	27	10	6	11	8	17	9	12	36	37	39	44	13	14	12	36	12	13	44	19	17	28	30	5	34	5	10	35	36	51	31	45	10	12	10	18	25
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	5	12	5	4	7	11	14	8	3	6	7	4	0	6	0	5	2	0	9	10	12	12	2	3	0	6	0	2	13	4	4	9	8	0	8	0	3	10	9	11	11	15	0	0	4	8	5
GO_SYNAPTIC_VESICLE_LOCALIZATION	3	7	4	0	8	7	10	4	0	0	7	2	0	2	0	5	2	3	9	9	9	8	2	3	0	0	0	0	7	2	3	4	6	0	5	0	2	4	7	8	5	6	0	2	3	2	4
GO_SYNAPTIC_VESICLE_MEMBRANE	0	10	3	0	6	11	11	6	0	3	4	3	0	2	0	0	0	3	11	9	9	10	2	3	0	7	3	0	10	3	4	5	6	3	7	0	2	10	0	13	9	10	2	0	0	0	5
GO_TAXIS	6	21	10	11	11	36	27	21	10	13	22	0	0	0	7	14	4	10	27	19	24	20	5	9	0	28	10	5	19	14	10	12	17	4	18	3	6	22	18	34	17	24	0	6	0	10	0
GO_TRANSMEMBRANE_TRANSPORT	0	39	25	22	31	53	57	32	0	20	38	0	0	0	12	18	6	17	38	36	43	52	11	19	15	39	15	0	37	31	22	41	24	8	35	0	11	38	38	59	39	42	14	13	16	21	24
GO_TRANSPORTER_ACTIVITY	0	29	21	16	22	44	41	21	0	0	27	0	0	0	0	14	7	13	28	25	35	42	9	16	13	30	0	0	29	21	18	29	0	0	25	0	9	24	30	40	30	32	0	8	15	17	19
GO_TRANSPORTER_COMPLEX	4	15	14	10	12	23	21	16	5	7	15	0	0	0	5	5	3	5	16	11	16	21	5	10	5	22	5	0	15	12	8	18	9	0	13	0	5	14	15	24	14	16	4	7	8	7	10
GO_TRANSPORT_VESICLE	0	20	6	6	13	21	25	12	0	0	16	5	0	5	0	7	0	11	19	18	20	21	4	7	0	15	5	4	16	8	10	13	12	3	17	0	6	16	12	28	15	22	0	0	0	0	13
GO_TRANSPORT_VESICLE_MEMBRANE	0	15	4	0	10	16	19	8	0	4	10	4	0	4	0	0	0	7	15	14	13	16	3	4	0	11	0	2	12	6	7	9	8	3	11	0	3	15	8	18	11	15	0	0	0	5	11
GO_TUBULIN_BINDING	6	15	8	9	15	21	20	11	0	8	15	4	0	6	6	9	0	11	12	16	17	17	3	8	0	14	6	0	17	7	8	10	11	3	17	0	3	11	12	26	15	19	4	0	5	0	15
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	7	19	8	6	13	16	25	13	4	7	13	6	2	7	3	10	4	6	17	17	19	20	3	5	4	12	5	3	23	7	9	14	13	3	15	0	4	16	16	22	18	22	0	4	7	10	9
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0	8	9	6	6	16	14	8	0	0	11	0	0	0	3	8	3	4	8	8	12	16	2	9	5	12	5	0	9	8	8	8	6	2	11	0	3	8	11	14	9	10	0	3	5	7	8
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3	10	12	9	7	22	18	10	0	0	12	0	0	0	4	8	3	5	10	9	15	19	3	11	7	15	7	3	11	9	8	10	6	2	13	0	4	10	14	18	13	11	0	3	6	8	10
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0	5	8	6	4	12	9	6	0	0	9	0	0	0	2	7	2	3	5	6	7	11	0	8	4	8	4	0	6	3	6	6	5	0	7	0	0	4	8	11	6	6	2	0	3	6	7
